n,candidate_id,strategy_name,candidate_family,candidate_source,generation_method,seed_strategy,mutation_type,mutation_distance,order_json,order_compact,order_hash,is_existing_teacher_order,priority_n_role,existing_reward_mean_all,pred_reward_mean_all,pred_reward_v01_u2_primary,pred_u2_score_rank,pred_peeq_score_rank,pred_surfaceT_score_rank,tree_prediction_mean,pred_uncertainty_std,pred_rank_within_n,pred_percentile_within_n,ensemble_disagreement_flag,nearest_existing_strategy,novelty_distance_to_nearest_existing,diversity_score,selection_bucket,shortlist_rank_within_n,teacher_batch20_rank_within_n
12,RUN12_N12_C00417,N12_RUN12_N12_C00417_mutate_reverse_short_segment,mutation,surrogate_mutation,mutate_reverse_short_segment,N12_A02_odd_even_interlaced,reverse_short_segment,1,"[0,2,4,10,8,6,1,3,5,7,9,11]","0,2,4,10,8,6,1,3,5,7,9,11",ddeac1737cd4186c,False,sanity_small_N_diagnostic,,0.7767226608929189,0.7970864484089196,0.825093421101125,0.8329201013164221,0.37386385442852293,0.7767226608929189,0.1078570361595807,2,0.9992057188244639,False,N12_A02_odd_even_interlaced,0.045454545454545456,0.045454545454545456,surrogate_top,1,1
12,RUN12_N12_C00026,N12_RUN12_N12_C00026_regular_jump_non_coprime_sentinel,regular_jump_sentinel,engineering_baseline,regular_jump_non_coprime_sentinel,,,,"[1,11,9,7,5,3,0,2,4,6,8,10]","1,11,9,7,5,3,0,2,4,6,8,10",bdefebe906990eb4,False,sanity_small_N_diagnostic,,0.7420064397319364,0.7798646196639931,0.791254609503954,0.7885562029793095,0.4983706903229354,0.7420064397319364,0.1732309693755779,49,0.9618745035742653,True,N12_A06_edge_in_alternating,0.4090909090909091,0.4090909090909091,diversity_top,16,2
12,RUN12_N12_C00134,N12_RUN12_N12_C00134_method_c_maximin_seed_like,method_c_inspired,method_c_inspired,method_c_maximin_seed_like,,,,"[0,5,11,6,8,4,2,7,1,3,9,10]","0,5,11,6,8,4,2,7,1,3,9,10",e1bbed764cecf310,False,sanity_small_N_diagnostic,,0.5524798939236236,0.5361033641480236,0.5409067020140641,0.5772626535977153,0.42364289700479574,0.5524798939236236,0.10988264889627439,343,0.7283558379666402,False,N12_A15_graph_pointer_policy_balanced_dispersion_proxy,0.045454545454545456,0.045454545454545456,method_c_inspired,21,3
12,RUN12_N12_C00024,N12_RUN12_N12_C00024_regular_jump_non_coprime_sentinel,regular_jump_sentinel,engineering_baseline,regular_jump_non_coprime_sentinel,,,,"[0,10,8,6,4,2,1,3,5,7,9,11]","0,10,8,6,4,2,1,3,5,7,9,11",689e550783923e35,False,sanity_small_N_diagnostic,,0.776602931332815,0.7961249912368648,0.8466430533430281,0.7397216394046329,0.33263360833570826,0.776602931332815,0.09967508742031235,3,0.9984114376489277,False,N12_A02_odd_even_interlaced,0.15151515151515152,0.15151515151515152,surrogate_top,2,4
12,RUN12_N12_C00414,N12_RUN12_N12_C00414_mutate_reverse_short_segment,mutation,surrogate_mutation,mutate_reverse_short_segment,N12_A02_odd_even_interlaced,reverse_short_segment,1,"[0,2,4,6,10,8,1,3,5,7,9,11]","0,2,4,6,10,8,1,3,5,7,9,11",5e763bfd943521e1,False,sanity_small_N_diagnostic,,0.7726359545437126,0.7939793055517768,0.8258870718947758,0.8319280378243586,0.3530892004098274,0.7726359545437126,0.1050507539805205,5,0.9968228752978554,False,N12_A02_odd_even_interlaced,0.015151515151515152,0.015151515151515152,surrogate_top,3,5
16,RUN12_N16_C01673,N16_RUN12_N16_C01673_mutate_reverse_short_segment,mutation,surrogate_mutation,mutate_reverse_short_segment,N16_A04_method_c_u2_first_engineering,reverse_short_segment,1,"[0,2,4,6,8,10,14,12,7,5,3,1,9,11,13,15]","0,2,4,6,8,10,14,12,7,5,3,1,9,11,13,15",07d1527fe5bebcbb,False,support_interpolation_diagnostic,,0.8064539049176901,0.8173867155666663,0.8317167021339682,0.8465862010896649,0.39211124212384635,0.8064539049176901,0.09729417405795705,2,0.9992088607594937,False,N16_A04_method_c_u2_first_engineering,0.008333333333333333,0.008333333333333333,surrogate_top,1,1
16,RUN12_N16_C01688,N16_RUN12_N16_C01688_mutate_rotate_sequence,mutation,surrogate_mutation,mutate_rotate_sequence,N16_A04_method_c_u2_first_engineering,rotate_sequence,3,"[1,9,11,13,15,0,2,4,6,8,10,12,14,7,5,3]","1,9,11,13,15,0,2,4,6,8,10,12,14,7,5,3",9a674580a1a6fa6e,False,support_interpolation_diagnostic,,0.7334030970777086,0.7590301463610005,0.8132287015350849,0.8146877458742454,0.6238088624965138,0.7334030970777086,0.11906715403470836,120,0.9058544303797469,False,N16_A03_greedy_maximin_distance,0.375,0.375,diversity_top,16,2
16,RUN12_N16_C01488,N16_RUN12_N16_C01488_method_c_mutated_topology_like,method_c_inspired,method_c_inspired,method_c_mutated_topology_like,,,,"[0,15,7,11,3,5,9,13,1,2,4,12,10,8,6,14]","0,15,7,11,3,5,9,13,1,2,4,12,10,8,6,14",0275e331daee6af4,False,support_interpolation_diagnostic,,0.6973127116819496,0.7115697579330649,0.7848108389365387,0.6570807847300515,0.4056532202651159,0.6973127116819496,0.13823169772875507,167,0.8686708860759493,False,N16_A03_greedy_maximin_distance,0.05,0.05,method_c_inspired,21,3
16,RUN12_N16_C01764,N16_RUN12_N16_C01764_mutate_parity_preserving_swap,mutation,surrogate_mutation,mutate_parity_preserving_swap,N16_A04_method_c_u2_first_engineering,parity_preserving_swap,1,"[0,2,4,6,8,14,12,10,7,5,3,1,9,11,13,15]","0,2,4,6,8,14,12,10,7,5,3,1,9,11,13,15",a2a8d66c6fafcb1a,False,support_interpolation_diagnostic,,0.8064539049176901,0.8173867155666663,0.8317167021339682,0.8465862010896649,0.39211124212384635,0.8064539049176901,0.09729417405795705,3,0.9984177215189873,False,N16_A04_method_c_u2_first_engineering,0.025,0.025,surrogate_top,2,4
16,RUN12_N16_C01668,N16_RUN12_N16_C01668_mutate_reverse_short_segment,mutation,surrogate_mutation,mutate_reverse_short_segment,N16_A04_method_c_u2_first_engineering,reverse_short_segment,2,"[0,2,4,6,8,14,12,10,7,1,3,5,9,11,13,15]","0,2,4,6,8,14,12,10,7,1,3,5,9,11,13,15",16c51042534d88b9,False,support_interpolation_diagnostic,,0.8006184221134572,0.8105547049846556,0.8355222028288697,0.827870674109335,0.39211124212384635,0.8006184221134572,0.13048758531361718,4,0.997626582278481,False,N16_A02_odd_even_interlaced,0.05,0.05,surrogate_top,3,5
