n,strategy_name,order_hash,order_compact,dataset_source,ppo_version,is_ppo,candidate_source,ppo_checkpoint,ppo_seed,predicted_lex_primary_score,predicted_u2_guarded_score,final_v03_score,partial_training_caveat,teacher_metrics_extracted,teacher_validation_status,source_metric_file,u2_range,peeq_max,surface_t_proxy,mises_max,final_step_name,final_frame_time,extracted_field_names,completion_status,odb_extraction_status,combined_rank_u2_range,combined_percentile_u2_range,combined_cost_norm_u2_range,combined_rank_peeq_max,combined_percentile_peeq_max,combined_cost_norm_peeq_max,combined_rank_surface_t_proxy,combined_percentile_surface_t_proxy,combined_cost_norm_surface_t_proxy,combined_rank_mises_max,combined_percentile_mises_max,combined_cost_norm_mises_max,combined_lex_rank,combined_lex_percentile,combined_diag_lex_rank,combined_diag_lex_percentile,ref_rank_u2_range,ref_percentile_u2_range,ref_best_u2_range,ref_median_u2_range,ref_q25_u2_range,ref_q75_u2_range,candidate_beats_ref_best_u2_range,candidate_better_than_ref_median_u2_range,candidate_top10pct_ref_u2_range,candidate_top25pct_ref_u2_range,v03_rank_u2_range_within_N,v03_best_u2_range_within_N,ref_rank_peeq_max,ref_percentile_peeq_max,ref_best_peeq_max,ref_median_peeq_max,ref_q25_peeq_max,ref_q75_peeq_max,candidate_beats_ref_best_peeq_max,candidate_better_than_ref_median_peeq_max,candidate_top10pct_ref_peeq_max,candidate_top25pct_ref_peeq_max,v03_rank_peeq_max_within_N,v03_best_peeq_max_within_N,ref_rank_surface_t_proxy,ref_percentile_surface_t_proxy,ref_best_surface_t_proxy,ref_median_surface_t_proxy,ref_q25_surface_t_proxy,ref_q75_surface_t_proxy,candidate_beats_ref_best_surface_t_proxy,candidate_better_than_ref_median_surface_t_proxy,candidate_top10pct_ref_surface_t_proxy,candidate_top25pct_ref_surface_t_proxy,v03_rank_surface_t_proxy_within_N,v03_best_surface_t_proxy_within_N,ref_rank_mises_max,ref_percentile_mises_max,ref_best_mises_max,ref_median_mises_max,ref_q25_mises_max,ref_q75_mises_max,candidate_beats_ref_best_mises_max,candidate_better_than_ref_median_mises_max,candidate_top10pct_ref_mises_max,candidate_top25pct_ref_mises_max,v03_rank_mises_max_within_N,v03_best_mises_max_within_N,ref_lex_rank,ref_lex_percentile,candidate_beats_ref_lex_best,candidate_top10pct_ref_lex,candidate_top25pct_ref_lex,ref_diag_lex_rank,ref_diag_lex_percentile,v03_lex_rank_within_N,v03_best_lex_within_N,teacher_lex_reward_rank_normalized,teacher_u2_reward_rank_normalized,topk_reasons,primary_topk
24,PPOV03_N24_B10_lex_primary_novel,70dab46204755b44,"21,23,16,19,20,22,10,18,17,13,15,12,14,11,8,4,3,2,9,6,5,7,0,1",ppo_v03_batch32,v03,True,PPO_v03_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\ppo_training_v03\checkpoints\N24_seed20260627_maskable_ppo_v03.zip,20260627,0.6946849202842107,0.2107526273910452,0.5129987913112573,PPO v03 training was partial: N24 seed 20260627 reached 100000 timesteps from an interrupted checkpoint; N40 seed 20260627 reached 61440 timesteps. Training verdict: WARNING_V03_PPO_TRAINING_PARTIAL_REVIEW.,True,PASS_TEACHER_FIELDS_EXTRACTED,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\stageR_ODB_teacher_metric_extraction\stageR_v03_teacher_metrics.csv,0.0002646354380431,0.1708177179098129,581623104.0,579945216.0,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,168.0,0.8155339805825242,0.39377289619000194,178.0,0.8640776699029126,0.539569877024239,27.0,0.13106796116504854,0.0669515097640008,201.0,0.9757281553398058,0.926829268292683,168.0,0.8155339805825242,168.0,0.8155339805825242,162,0.8481675392670157,2.9523077955673216e-05,8.096076885522052e-05,5.351185041035933e-05,0.000189858678879725,False,False,False,False,7.0,False,175,0.9162303664921466,0.1492166519165039,0.15729529410600662,0.15427346900105474,0.16117477416992182,False,False,False,False,4.0,False,23,0.12041884816753927,580875968.0,582566592.0,581893616.0,583485168.0,False,True,False,True,5.0,False,191,1.0,579942784.0,579944128.0,579943552.0,579944448.0,False,False,False,False,11.0,False,162.0,0.8481675392670157,False,False,False,162.0,0.8481675392670157,7.0,False,0.15263157894736845,0.15263157894736845,top25_surface_t_proxy,True
24,PPOV03_N24_B09_u2_guarded,beee19bb2689afd8,"23,18,21,16,20,17,19,14,15,22,10,8,11,12,9,6,7,13,5,0,4,1,3,2",ppo_v03_batch32,v03,True,PPO_v03_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\ppo_training_v03\checkpoints\N24_seed20260627_maskable_ppo_v03.zip,20260627,0.6293509637593652,0.2474901076915482,0.483752133895879,PPO v03 training was partial: N24 seed 20260627 reached 100000 timesteps from an interrupted checkpoint; N40 seed 20260627 reached 61440 timesteps. Training verdict: WARNING_V03_PPO_TRAINING_PARTIAL_REVIEW.,True,PASS_TEACHER_FIELDS_EXTRACTED,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\stageR_ODB_teacher_metric_extraction\stageR_v03_teacher_metrics.csv,0.0002847290083991,0.1794648915529251,581460544.0,579944320.0,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,177.0,0.8592233009708737,0.4274261817549867,199.0,0.9660194174757282,0.7555663663024316,20.0,0.0970873786407767,0.0523843661285235,110.0,0.5339805825242718,0.5853658536585366,177.0,0.8592233009708737,177.0,0.8592233009708737,165,0.8638743455497382,2.9523077955673216e-05,8.096076885522052e-05,5.351185041035933e-05,0.000189858678879725,False,False,False,False,13.0,False,186,0.9738219895287958,0.1492166519165039,0.15729529410600662,0.15427346900105474,0.16117477416992182,False,False,False,False,14.0,False,18,0.09424083769633508,580875968.0,582566592.0,581893616.0,583485168.0,False,True,True,True,3.0,False,109,0.5706806282722513,579942784.0,579944128.0,579943552.0,579944448.0,False,False,False,False,2.0,False,165.0,0.8638743455497382,False,False,False,165.0,0.8638743455497382,13.0,False,0.13684210526315788,0.13684210526315788,top10_surface_t_proxy;top25_surface_t_proxy,True
24,PPOV03_N24_B02_top_v03_score,21fa3998281cd6b7,"17,18,19,23,21,22,20,12,16,15,6,9,11,14,10,7,13,8,4,2,5,0,3,1",ppo_v03_batch32,v03,True,PPO_v03_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\ppo_training_v03\checkpoints\N24_seed20260627_maskable_ppo_v03.zip,20260627,0.6920377519526854,0.2434864045548914,0.5220529776937478,PPO v03 training was partial: N24 seed 20260627 reached 100000 timesteps from an interrupted checkpoint; N40 seed 20260627 reached 61440 timesteps. Training verdict: WARNING_V03_PPO_TRAINING_PARTIAL_REVIEW.,True,PASS_TEACHER_FIELDS_EXTRACTED,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\stageR_ODB_teacher_metric_extraction\stageR_v03_teacher_metrics.csv,0.0003053205471132,0.1666601449251175,581425728.0,579944384.0,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,181.0,0.8786407766990292,0.4619134789495901,172.0,0.8349514563106796,0.43571846780368156,17.0,0.0825242718446602,0.04926447394832679,117.0,0.5679611650485437,0.6097560975609756,181.0,0.8786407766990292,181.0,0.8786407766990292,167,0.8743455497382199,2.9523077955673216e-05,8.096076885522052e-05,5.351185041035933e-05,0.000189858678879725,False,False,False,False,15.0,False,172,0.900523560209424,0.1492166519165039,0.15729529410600662,0.15427346900105474,0.16117477416992182,False,False,False,False,1.0,True,16,0.08376963350785341,580875968.0,582566592.0,581893616.0,583485168.0,False,True,True,True,2.0,False,115,0.6020942408376964,579942784.0,579944128.0,579943552.0,579944448.0,False,False,False,False,3.0,False,167.0,0.8743455497382199,False,False,False,167.0,0.8743455497382199,15.0,False,0.12631578947368416,0.12631578947368416,top10_surface_t_proxy;top25_surface_t_proxy,True
24,PPOV03_N24_B08_u2_guarded,2412cb33a822a89d,"11,17,21,23,19,12,20,16,18,14,22,13,7,9,10,15,8,6,4,5,2,1,3,0",ppo_v03_batch32,v03,True,PPO_v03_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\ppo_training_v03\checkpoints\N24_seed20260627_maskable_ppo_v03.zip,20260627,0.669746352090571,0.2487578660222169,0.506935978932064,PPO v03 training was partial: N24 seed 20260627 reached 100000 timesteps from an interrupted checkpoint; N40 seed 20260627 reached 61440 timesteps. Training verdict: WARNING_V03_PPO_TRAINING_PARTIAL_REVIEW.,True,PASS_TEACHER_FIELDS_EXTRACTED,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\stageR_ODB_teacher_metric_extraction\stageR_v03_teacher_metrics.csv,0.0003002565847509,0.1727893352508545,581186176.0,579944448.0,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,180.0,0.8737864077669902,0.45343221014322643,182.0,0.883495145631068,0.5888186190342024,10.0,0.04854368932038835,0.02779800992171594,141.0,0.6844660194174758,0.6341463414634146,180.0,0.8737864077669902,180.0,0.8737864077669902,167,0.8743455497382199,2.9523077955673216e-05,8.096076885522052e-05,5.351185041035933e-05,0.000189858678879725,False,False,False,False,14.0,False,177,0.9267015706806283,0.1492166519165039,0.15729529410600662,0.15427346900105474,0.16117477416992182,False,False,False,False,6.0,False,10,0.05235602094240838,580875968.0,582566592.0,581893616.0,583485168.0,False,True,True,True,1.0,True,138,0.7225130890052356,579942784.0,579944128.0,579943552.0,579944448.0,False,False,False,False,4.0,False,167.0,0.8743455497382199,False,False,False,167.0,0.8743455497382199,14.0,False,0.12631578947368416,0.12631578947368416,top10_surface_t_proxy;top25_surface_t_proxy,True
24,PPOV03_N24_B11_lex_primary_novel,947e70964151b17d,"17,18,19,22,21,23,20,16,14,12,15,11,10,9,13,8,7,6,4,5,2,1,3,0",ppo_v03_batch32,v03,True,PPO_v03_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\ppo_training_v03\checkpoints\N24_seed20260627_maskable_ppo_v03.zip,20260627,0.6937416897418535,0.2181372507799123,0.5176790413475472,PPO v03 training was partial: N24 seed 20260627 reached 100000 timesteps from an interrupted checkpoint; N40 seed 20260627 reached 61440 timesteps. Training verdict: WARNING_V03_PPO_TRAINING_PARTIAL_REVIEW.,True,PASS_TEACHER_FIELDS_EXTRACTED,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\stageR_ODB_teacher_metric_extraction\stageR_v03_teacher_metrics.csv,0.000340500393122,0.177744448184967,581581504.0,579945408.0,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,184.0,0.8932038834951457,0.5208336898872552,194.0,0.941747572815534,0.7125916623334765,24.0,0.11650485436893204,0.06322369741633929,206.0,1.0,1.0,184.0,0.8932038834951457,184.0,0.8932038834951457,169,0.8848167539267016,2.9523077955673216e-05,8.096076885522052e-05,5.351185041035933e-05,0.000189858678879725,False,False,False,False,16.0,False,184,0.9633507853403142,0.1492166519165039,0.15729529410600662,0.15427346900105474,0.16117477416992182,False,False,False,False,11.0,False,21,0.1099476439790576,580875968.0,582566592.0,581893616.0,583485168.0,False,True,False,True,4.0,False,191,1.0,579942784.0,579944128.0,579943552.0,579944448.0,False,False,False,False,16.0,False,169.0,0.8848167539267016,False,False,False,169.0,0.8848167539267016,16.0,False,0.11578947368421055,0.11578947368421055,top25_surface_t_proxy,True
40,PPOV03_N40_B06_u2_guarded,db7594dfc24d91df,"2,19,10,13,7,4,6,16,8,1,31,22,3,26,30,0,28,17,32,25,38,14,20,18,24,11,23,5,37,9,21,33,27,12,34,36,15,39,29,35",ppo_v03_batch32,v03,True,PPO_v03_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\ppo_training_v03\checkpoints\N40_seed20260627_maskable_ppo_v03.zip,20260627,0.3049060620799134,0.2569396956502345,0.2766819224538443,PPO v03 training was partial: N24 seed 20260627 reached 100000 timesteps from an interrupted checkpoint; N40 seed 20260627 reached 61440 timesteps. Training verdict: WARNING_V03_PPO_TRAINING_PARTIAL_REVIEW.,True,PASS_TEACHER_FIELDS_EXTRACTED,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\stageR_ODB_teacher_metric_extraction\stageR_v03_teacher_metrics.csv,0.0008316315939964,0.1694963872432708,583406400.0,579925888.0,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,174.0,0.7837837837837838,0.3869490851381564,192.0,0.8648648648648649,0.450465768615723,116.0,0.5225225225225225,0.13133428875904898,26.0,0.11711711711711711,0.3258426966292135,174.0,0.7837837837837838,174.0,0.7837837837837838,172,0.8309178743961353,4.5779268475598656e-05,0.0001498124456702,7.685743622687369e-05,0.000666550741925625,False,False,False,False,3.0,False,187,0.9033816425120773,0.1440253555774688,0.1574980020523071,0.1534765549004078,0.16250064596533773,False,False,False,False,6.0,False,111,0.5362318840579711,581119040.0,583269440.0,582101248.0,585095312.0,False,False,False,False,6.0,False,25,0.12077294685990338,579924032.0,579927040.0,579926336.0,579927552.0,False,True,False,True,2.0,False,172.0,0.8309178743961353,False,False,False,172.0,0.8309178743961353,3.0,False,0.16990291262135926,0.16990291262135926,diagnostic_top25_mises,False
40,PPOV03_N40_B08_u2_guarded,31ec280fa8a9176f,"14,7,2,4,1,0,8,6,19,16,38,10,5,28,18,31,34,24,30,9,32,15,11,13,23,20,39,22,12,27,17,33,3,25,21,36,26,37,29,35",ppo_v03_batch32,v03,True,PPO_v03_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\ppo_training_v03\checkpoints\N40_seed20260627_maskable_ppo_v03.zip,20260627,0.3210491741484699,0.2407035478387489,0.2844718743078555,PPO v03 training was partial: N24 seed 20260627 reached 100000 timesteps from an interrupted checkpoint; N40 seed 20260627 reached 61440 timesteps. Training verdict: WARNING_V03_PPO_TRAINING_PARTIAL_REVIEW.,True,PASS_TEACHER_FIELDS_EXTRACTED,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\stageR_ODB_teacher_metric_extraction\stageR_v03_teacher_metrics.csv,0.0008942204481172,0.1695457696914672,583951040.0,579925952.0,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,179.0,0.8063063063063063,0.4177674705464312,193.0,0.8693693693693694,0.45133911771185675,137.0,0.6171171171171171,0.16260610737515158,28.0,0.12612612612612611,0.33707865168539325,179.0,0.8063063063063063,179.0,0.8063063063063063,172,0.8309178743961353,4.5779268475598656e-05,0.0001498124456702,7.685743622687369e-05,0.000666550741925625,False,False,False,False,8.0,False,187,0.9033816425120773,0.1440253555774688,0.1574980020523071,0.1534765549004078,0.16250064596533773,False,False,False,False,7.0,False,130,0.6280193236714976,581119040.0,583269440.0,582101248.0,585095312.0,False,False,False,False,8.0,False,26,0.12560386473429952,579924032.0,579927040.0,579926336.0,579927552.0,False,True,False,True,3.0,False,172.0,0.8309178743961353,False,False,False,172.0,0.8309178743961353,8.0,False,0.16990291262135926,0.16990291262135926,diagnostic_top25_mises,False
40,PPOV03_N40_B16_fill_next_best,1eae06737cdf3b2a,"7,2,10,9,4,16,8,11,1,0,6,32,14,36,34,13,17,25,31,15,28,19,27,18,38,12,22,33,20,23,3,26,24,5,30,21,37,39,29,35",ppo_v03_batch32,v03,True,PPO_v03_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\ppo_training_v03\checkpoints\N40_seed20260627_maskable_ppo_v03.zip,20260627,0.3747816133318905,0.1869074454576414,0.300460306654753,PPO v03 training was partial: N24 seed 20260627 reached 100000 timesteps from an interrupted checkpoint; N40 seed 20260627 reached 61440 timesteps. Training verdict: WARNING_V03_PPO_TRAINING_PARTIAL_REVIEW.,True,PASS_TEACHER_FIELDS_EXTRACTED,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\stageR_ODB_teacher_metric_extraction\stageR_v03_teacher_metrics.csv,0.0009019095808753,0.1711305975914001,587269248.0,579926016.0,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,181.0,0.8153153153153153,0.4215535545085558,200.0,0.9009009009009009,0.47936745702036715,192.0,0.8648648648648649,0.3531290192187557,31.0,0.13963963963963963,0.34831460674157305,181.0,0.8153153153153153,181.0,0.8153153153153153,172,0.8309178743961353,4.5779268475598656e-05,0.0001498124456702,7.685743622687369e-05,0.000666550741925625,False,False,False,False,10.0,False,190,0.9178743961352657,0.1440253555774688,0.1574980020523071,0.1534765549004078,0.16250064596533773,False,False,False,False,11.0,False,178,0.8599033816425121,581119040.0,583269440.0,582101248.0,585095312.0,False,False,False,False,15.0,False,28,0.13526570048309178,579924032.0,579927040.0,579926336.0,579927552.0,False,True,False,True,4.0,False,172.0,0.8309178743961353,False,False,False,172.0,0.8309178743961353,10.0,False,0.16990291262135926,0.16990291262135926,diagnostic_top25_mises,False
40,PPOV03_N40_B01_top_v03_score,18c57249939589a8,"2,4,1,6,16,3,0,8,32,38,36,23,19,7,15,14,26,27,30,12,18,17,11,13,10,20,31,39,34,22,25,28,9,5,21,24,33,29,37,35",ppo_v03_batch32,v03,True,PPO_v03_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\ppo_training_v03\checkpoints\N40_seed20260627_maskable_ppo_v03.zip,20260627,0.4589657126143026,0.1120172101585384,0.3302950081719319,PPO v03 training was partial: N24 seed 20260627 reached 100000 timesteps from an interrupted checkpoint; N40 seed 20260627 reached 61440 timesteps. Training verdict: WARNING_V03_PPO_TRAINING_PARTIAL_REVIEW.,True,PASS_TEACHER_FIELDS_EXTRACTED,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\stageR_ODB_teacher_metric_extraction\stageR_v03_teacher_metrics.csv,0.0009253241172473,0.1646368205547332,584501120.0,579925824.0,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,184.0,0.8288288288288288,0.4330827351622812,175.0,0.7882882882882883,0.3645223144119992,155.0,0.6981981981981982,0.1941902767059861,24.0,0.10810810810810811,0.3146067415730337,184.0,0.8288288288288288,184.0,0.8288288288288288,173,0.8357487922705314,4.5779268475598656e-05,0.0001498124456702,7.685743622687369e-05,0.000666550741925625,False,False,False,False,12.0,False,172,0.8309178743961353,0.1440253555774688,0.1574980020523071,0.1534765549004078,0.16250064596533773,False,False,False,False,4.0,False,145,0.7004830917874396,581119040.0,583269440.0,582101248.0,585095312.0,False,False,False,False,11.0,False,24,0.11594202898550725,579924032.0,579927040.0,579926336.0,579927552.0,False,True,False,True,1.0,True,173.0,0.8357487922705314,False,False,False,173.0,0.8357487922705314,12.0,False,0.16504854368932043,0.16504854368932043,diagnostic_top25_mises,False
40,PPOV03_N40_B13_diverse_upper_quartile,5f9aa6b60df68c69,"7,8,3,2,6,25,1,4,0,16,9,11,23,31,36,14,20,10,19,18,13,27,22,38,34,15,28,30,32,5,17,21,24,33,12,26,37,29,39,35",ppo_v03_batch32,v03,True,PPO_v03_checkpoint_inference,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\ppo_training_v03\checkpoints\N40_seed20260627_maskable_ppo_v03.zip,20260627,0.3384889161359402,0.1638201273919984,0.2686521588822067,PPO v03 training was partial: N24 seed 20260627 reached 100000 timesteps from an interrupted checkpoint; N40 seed 20260627 reached 61440 timesteps. Training verdict: WARNING_V03_PPO_TRAINING_PARTIAL_REVIEW.,True,PASS_TEACHER_FIELDS_EXTRACTED,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_ppo_rl_lam_fea_addendum_v03_lex_primary_N24_N40\stageR_ODB_teacher_metric_extraction\stageR_v03_teacher_metrics.csv,0.0009339260451497,0.1566403955221176,584614400.0,579926272.0,step_final_cooling,1200.0,AC YIELD;HFL;NT11;PEEQ;RF;S;U,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,186.0,0.8378378378378378,0.4373182741104572,100.0,0.45045045045045046,0.2231022182118331,158.0,0.7117117117117117,0.20069452100099217,52.0,0.23423423423423423,0.39325842696629215,186.0,0.8378378378378378,186.0,0.8378378378378378,173,0.8357487922705314,4.5779268475598656e-05,0.0001498124456702,7.685743622687369e-05,0.000666550741925625,False,False,False,False,14.0,False,100,0.4830917874396135,0.1440253555774688,0.1574980020523071,0.1534765549004078,0.16250064596533773,False,True,False,False,1.0,True,147,0.7101449275362319,581119040.0,583269440.0,582101248.0,585095312.0,False,False,False,False,12.0,False,48,0.2318840579710145,579924032.0,579927040.0,579926336.0,579927552.0,False,True,False,True,5.0,False,173.0,0.8357487922705314,False,False,False,173.0,0.8357487922705314,14.0,False,0.16504854368932043,0.16504854368932043,diagnostic_top25_mises,False
