strategy_name,n,order_hash,stageK2_role,candidate_source
PPOV02_N24_B01_deterministic,24,ff37fba1e29bb951,N24_retained_from_StageK_v02,PPO_v02_checkpoint_inference
PPOV02_N24_B02_conservative_top,24,0ff174d17e9a1393,N24_retained_from_StageK_v02,PPO_v02_checkpoint_inference
PPOV02_N24_B03_conservative_top,24,c8f6c3a9e447340c,N24_retained_from_StageK_v02,PPO_v02_checkpoint_inference
PPOV02_N24_B04_conservative_top,24,25710a3b8b1e15d8,N24_retained_from_StageK_v02,PPO_v02_checkpoint_inference
PPOV02_N24_B05_conservative_top,24,c24bc45fe2056c79,N24_retained_from_StageK_v02,PPO_v02_checkpoint_inference
PPOV02_N24_B06_conservative_top,24,5a3e5b67b567e659,N24_retained_from_StageK_v02,PPO_v02_checkpoint_inference
PPOV02_N24_B07_conservative_top,24,d8c8080ed994dc75,N24_retained_from_StageK_v02,PPO_v02_checkpoint_inference
PPOV02_N24_B08_conservative_top,24,2016af1b67bc04b5,N24_retained_from_StageK_v02,PPO_v02_checkpoint_inference
PPOV02_N24_B09_diverse_tophalf,24,ff6181ae5f5a3b35,N24_retained_from_StageK_v02,PPO_v02_checkpoint_inference
PPOV02_N24_B10_diverse_tophalf,24,47760e25947f63f9,N24_retained_from_StageK_v02,PPO_v02_checkpoint_inference
PPOV02_N24_B11_diverse_tophalf,24,0c749c8bf0d90074,N24_retained_from_StageK_v02,PPO_v02_checkpoint_inference
PPOV02_N24_B12_diverse_tophalf,24,3995ed2b0c2db6cc,N24_retained_from_StageK_v02,PPO_v02_checkpoint_inference
PPOV02_N24_B13_diverse_tophalf,24,12d8d508bf9c0aa0,N24_retained_from_StageK_v02,PPO_v02_checkpoint_inference
PPOV02_N24_B14_novelty_tophalf,24,e9785cdd94f93113,N24_retained_from_StageK_v02,PPO_v02_checkpoint_inference
PPOV02_N24_B15_novelty_tophalf,24,0b587b2305dd8692,N24_retained_from_StageK_v02,PPO_v02_checkpoint_inference
PPOV02_N24_B16_novelty_tophalf,24,c13cf1f80061e36e,N24_retained_from_StageK_v02,PPO_v02_checkpoint_inference
PPOV02K2_N40_B01_deterministic,40,bcf2d41b8aa56c9f,N40_refreshed_after_K2_training,PPO_v02K2_checkpoint_inference
PPOV02K2_N40_B02_top_reward,40,dbc3f8d62a762a03,N40_refreshed_after_K2_training,PPO_v02K2_checkpoint_inference
PPOV02K2_N40_B03_top_reward,40,fc208f8b833e1113,N40_refreshed_after_K2_training,PPO_v02K2_checkpoint_inference
PPOV02K2_N40_B04_top_reward,40,8f5c87772dc094d8,N40_refreshed_after_K2_training,PPO_v02K2_checkpoint_inference
PPOV02K2_N40_B05_top_reward,40,92f11a995b28f49a,N40_refreshed_after_K2_training,PPO_v02K2_checkpoint_inference
PPOV02K2_N40_B06_top_reward,40,f0ff15c3d24ff363,N40_refreshed_after_K2_training,PPO_v02K2_checkpoint_inference
PPOV02K2_N40_B07_top_reward,40,bc7edd1e01172812,N40_refreshed_after_K2_training,PPO_v02K2_checkpoint_inference
PPOV02K2_N40_B08_top_reward,40,7a048ec0093acf89,N40_refreshed_after_K2_training,PPO_v02K2_checkpoint_inference
PPOV02K2_N40_B09_diverse_tophalf,40,0e5e6502c9b3a638,N40_refreshed_after_K2_training,PPO_v02K2_checkpoint_inference
PPOV02K2_N40_B10_diverse_tophalf,40,827cc7b310141cd0,N40_refreshed_after_K2_training,PPO_v02K2_checkpoint_inference
PPOV02K2_N40_B11_diverse_tophalf,40,124447de22500cae,N40_refreshed_after_K2_training,PPO_v02K2_checkpoint_inference
PPOV02K2_N40_B12_diverse_tophalf,40,c1b4f84f892876e1,N40_refreshed_after_K2_training,PPO_v02K2_checkpoint_inference
PPOV02K2_N40_B13_diverse_tophalf,40,757185fc9ab5c312,N40_refreshed_after_K2_training,PPO_v02K2_checkpoint_inference
PPOV02K2_N40_B14_novelty_tophalf,40,2529844c8f77a738,N40_refreshed_after_K2_training,PPO_v02K2_checkpoint_inference
PPOV02K2_N40_B15_novelty_tophalf,40,ca785a8ce6fc7d21,N40_refreshed_after_K2_training,PPO_v02K2_checkpoint_inference
PPOV02K2_N40_B16_novelty_tophalf,40,4ecd67bdb89f1edd,N40_refreshed_after_K2_training,PPO_v02K2_checkpoint_inference
