stage3_target_field,source_field_or_rule,mappable,combined172_has_field,notes
n,constant 32,True,True,N=32 inferred from legal full 0..31 scan_order and Stage 2 32track source
strategy_name,strategy_id,True,True,
order_json,scan_order,True,True,
u2_range,U2_range,True,True,
peeq_max,peeq_guard,True,True,May be peeq_guard if canonical table is used
surface_t_proxy,surface_tensile_primary,True,True,
mises_max,mises_P95_top_band,True,True,May be P95/top-band Mises diagnostic rather than global max
dataset_source,constant stage2_n32_gnn_rl_legacy/stage2_n32_full32_legacy,True,True,
teacher_validation_status,final_cooling_success,True,True,
row_count,336,True,False,Requires at least 100 reusable N32 rows for PASS
duplicate_order_hash_status,4,False,False,Duplicates should be removed or documented before final Stage 3 merge
