strategy_name,n,legal,source_ok,n24_unchanged_from_stageK_json,teacher_validated_false,abaqus_validated_false
PPOV02_N24_B01_deterministic,24,True,True,True,True,True
PPOV02_N24_B02_conservative_top,24,True,True,True,True,True
PPOV02_N24_B03_conservative_top,24,True,True,True,True,True
PPOV02_N24_B04_conservative_top,24,True,True,True,True,True
PPOV02_N24_B05_conservative_top,24,True,True,True,True,True
PPOV02_N24_B06_conservative_top,24,True,True,True,True,True
PPOV02_N24_B07_conservative_top,24,True,True,True,True,True
PPOV02_N24_B08_conservative_top,24,True,True,True,True,True
PPOV02_N24_B09_diverse_tophalf,24,True,True,True,True,True
PPOV02_N24_B10_diverse_tophalf,24,True,True,True,True,True
PPOV02_N24_B11_diverse_tophalf,24,True,True,True,True,True
PPOV02_N24_B12_diverse_tophalf,24,True,True,True,True,True
PPOV02_N24_B13_diverse_tophalf,24,True,True,True,True,True
PPOV02_N24_B14_novelty_tophalf,24,True,True,True,True,True
PPOV02_N24_B15_novelty_tophalf,24,True,True,True,True,True
PPOV02_N24_B16_novelty_tophalf,24,True,True,True,True,True
PPOV02K2_N40_B01_deterministic,40,True,True,True,True,True
PPOV02K2_N40_B02_top_reward,40,True,True,True,True,True
PPOV02K2_N40_B03_top_reward,40,True,True,True,True,True
PPOV02K2_N40_B04_top_reward,40,True,True,True,True,True
PPOV02K2_N40_B05_top_reward,40,True,True,True,True,True
PPOV02K2_N40_B06_top_reward,40,True,True,True,True,True
PPOV02K2_N40_B07_top_reward,40,True,True,True,True,True
PPOV02K2_N40_B08_top_reward,40,True,True,True,True,True
PPOV02K2_N40_B09_diverse_tophalf,40,True,True,True,True,True
PPOV02K2_N40_B10_diverse_tophalf,40,True,True,True,True,True
PPOV02K2_N40_B11_diverse_tophalf,40,True,True,True,True,True
PPOV02K2_N40_B12_diverse_tophalf,40,True,True,True,True,True
PPOV02K2_N40_B13_diverse_tophalf,40,True,True,True,True,True
PPOV02K2_N40_B14_novelty_tophalf,40,True,True,True,True,True
PPOV02K2_N40_B15_novelty_tophalf,40,True,True,True,True,True
PPOV02K2_N40_B16_novelty_tophalf,40,True,True,True,True,True
