strategy_name,label,category,family,source_file,source_kind,scan_order,has_teacher_metrics,U2,PEEQ,SurfaceT,Gradient,Mises,internal_tensile_stress
block_interleaved_quarters,block_interleaved_quarters,engineering_baseline,block_interleaved,D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\surface_tensile_gradient_full_field_label_backfill_v03\canonical_full_field_surface_gradient_teacher_labels_v03.csv,csv:scan_order,"[0, 8, 16, 24, 1, 9, 17, 25, 2, 10, 18, 26, 3, 11, 19, 27, 4, 12, 20, 28, 5, 13, 21, 29, 6, 14, 22, 30, 7, 15, 23, 31]",True,0.0012124717,0.1524441365152598,0.03684615782825779,0.0011763805507249005,1.9332950826666666,0.03684615782825779
center_edge_alternating,center_edge_alternating,engineering_baseline,center_edge,D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\surface_tensile_gradient_full_field_label_backfill_v03\canonical_full_field_surface_gradient_teacher_labels_v03.csv,csv:scan_order,"[15, 0, 16, 31, 14, 1, 17, 30, 13, 2, 18, 29, 12, 3, 19, 28, 11, 4, 20, 27, 10, 5, 21, 26, 9, 6, 22, 25, 8, 7, 23, 24]",True,0.001107246,0.16259773060679442,0.020126624928206212,0.0014940444843002394,1.933314048,0.020126624928206212
center_out,center_out,engineering_baseline,center_out,D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\surface_tensile_gradient_full_field_label_backfill_v03\canonical_full_field_surface_gradient_teacher_labels_v03.csv,csv:scan_order,"[15, 16, 14, 17, 13, 18, 12, 19, 11, 20, 10, 21, 9, 22, 8, 23, 7, 24, 6, 25, 5, 26, 4, 27, 3, 28, 2, 29, 1, 30, 0, 31]",True,0.0011355641,0.1598427277058363,0.05411190949348675,0.0026107741776846606,1.933316608,0.05411190949348675
edge_in,edge_in,engineering_baseline,edge_in,D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\surface_tensile_gradient_full_field_label_backfill_v03\canonical_full_field_surface_gradient_teacher_labels_v03.csv,csv:scan_order,"[0, 31, 1, 30, 2, 29, 3, 28, 4, 27, 5, 26, 6, 25, 7, 24, 8, 23, 9, 22, 10, 21, 11, 20, 12, 19, 13, 18, 14, 17, 15, 16]",True,0.0010115247,0.17761470019817358,0.07751105920522813,0.004365705120527314,1.93356736,0.07751105920522813
edge_in_alternating_LHI,edge_in_alternating_LHI,engineering_baseline,edge_in,D:\Projects\RL-LAM-ScanOpt\LDED_2D_CAE_Framework\rl_training_v01\outputs\sanity\full48_teacher_labels_loaded_validated.csv,csv:scan_order,"[0, 31, 1, 30, 2, 29, 3, 28, 4, 27, 5, 26, 6, 25, 7, 24, 8, 23, 9, 22, 10, 21, 11, 20, 12, 19, 13, 18, 14, 17, 15, 16]",True,0.8171371097684796,0.7687175247992442,,,,17199464.3
UPB_A07_V01,UPB_A07_V01,engineering_baseline,maximin,D:\Projects\RL-LAM-ScanOpt\LDED_2D_CAE_Framework\cae_models\32track_next8_U_PEEQ_balanced_v01\UPB_A07_V01\strategy_metadata.json,json:.scan_order,"[0, 31, 15, 23, 7, 11, 19, 25, 3, 5, 9, 13, 17, 21, 27, 29, 1, 18, 16, 6, 8, 10, 12, 14, 4, 2, 20, 22, 24, 26, 28, 30]",True,,0.1026190760925301,,,,
greedy_maximin_distance,greedy_maximin_distance,engineering_baseline,maximin,D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\surface_tensile_gradient_full_field_label_backfill_v03\canonical_full_field_surface_gradient_teacher_labels_v03.csv,csv:scan_order,"[0, 31, 15, 23, 7, 11, 19, 27, 3, 5, 9, 13, 17, 21, 25, 29, 1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",True,0.00014875257,0.14459251508116724,0.0018460600070068678,1.9629530524186656e-05,1.9332772906666669,0.0018460600070068678
run36_greedy_maximin_distance_adjacent_swap_0002,run36_greedy_maximin_distance_adjacent_swap_0002,engineering_baseline,maximin,D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\gnn_candidate_scoring_generation_v01\gnn_run45_candidate_scores.csv,csv:scan_order,"[0, 31, 15, 23, 7, 11, 19, 27, 3, 5, 9, 13, 17, 21, 25, 29, 1, 2, 4, 6, 10, 8, 12, 14, 16, 20, 18, 22, 24, 26, 28, 30]",True,0.8165151289312863,,,,,
run36_greedy_maximin_distance_adjacent_swap_0009,run36_greedy_maximin_distance_adjacent_swap_0009,engineering_baseline,maximin,D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\gnn_candidate_scoring_generation_v01\gnn_run45_candidate_scores.csv,csv:scan_order,"[0, 31, 15, 23, 7, 11, 19, 27, 3, 5, 9, 13, 17, 25, 21, 29, 1, 4, 2, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",True,0.8382769414219705,,,,,
run36_greedy_maximin_distance_adjacent_swap_0021,run36_greedy_maximin_distance_adjacent_swap_0021,engineering_baseline,maximin,D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\gnn_candidate_scoring_generation_v01\gnn_run45_candidate_scores.csv,csv:scan_order,"[0, 31, 15, 23, 7, 11, 19, 27, 3, 5, 9, 17, 13, 21, 25, 29, 1, 2, 6, 4, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",True,0.818899985094649,,,,,
run36_greedy_maximin_distance_adjacent_swap_0023,run36_greedy_maximin_distance_adjacent_swap_0023,engineering_baseline,maximin,D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\gnn_candidate_scoring_generation_v01\gnn_run45_candidate_scores.csv,csv:scan_order,"[0, 31, 15, 23, 7, 11, 27, 19, 5, 3, 9, 13, 17, 21, 25, 29, 1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",True,0.8107020420330899,,,,,
run36_greedy_maximin_distance_adjacent_swap_0029,run36_greedy_maximin_distance_adjacent_swap_0029,engineering_baseline,maximin,D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\gnn_candidate_scoring_generation_v01\gnn_run45_candidate_scores.csv,csv:scan_order,"[31, 0, 15, 23, 7, 19, 11, 27, 3, 5, 9, 13, 17, 21, 25, 29, 1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 22, 20, 24, 26, 28, 30]",True,0.8859740646892235,,,,,
run36_greedy_maximin_distance_adjacent_swap_0045,run36_greedy_maximin_distance_adjacent_swap_0045,engineering_baseline,maximin,D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\gnn_candidate_scoring_generation_v01\gnn_run45_candidate_scores.csv,csv:scan_order,"[0, 31, 15, 23, 7, 11, 19, 3, 27, 5, 9, 13, 17, 21, 25, 29, 1, 2, 4, 6, 8, 10, 12, 16, 14, 18, 20, 22, 24, 26, 28, 30]",True,0.8227753763601133,,,,,
run36_greedy_maximin_distance_adjacent_swap_0046,run36_greedy_maximin_distance_adjacent_swap_0046,engineering_baseline,maximin,D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\gnn_candidate_scoring_generation_v01\gnn_run45_candidate_scores.csv,csv:scan_order,"[0, 31, 15, 23, 7, 11, 19, 27, 3, 5, 9, 13, 21, 17, 25, 29, 1, 2, 4, 6, 8, 10, 12, 14, 16, 20, 18, 22, 24, 26, 28, 30]",True,0.7764197346847518,,,,,
run36_greedy_maximin_distance_adjacent_swap_0050,run36_greedy_maximin_distance_adjacent_swap_0050,engineering_baseline,maximin,D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\gnn_candidate_scoring_generation_v01\gnn_run45_candidate_scores.csv,csv:scan_order,"[0, 31, 15, 23, 7, 11, 27, 19, 3, 5, 9, 13, 17, 21, 25, 29, 1, 4, 2, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",True,0.8081681323595171,,,,,
run36_greedy_maximin_distance_adjacent_swap_0054,run36_greedy_maximin_distance_adjacent_swap_0054,engineering_baseline,maximin,D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\gnn_candidate_scoring_generation_v01\gnn_run45_candidate_scores.csv,csv:scan_order,"[0, 31, 15, 23, 7, 11, 19, 27, 3, 5, 9, 13, 17, 21, 25, 29, 1, 2, 4, 6, 8, 12, 10, 14, 16, 18, 20, 22, 24, 28, 26, 30]",True,0.8059323297063646,,,,,
run36_greedy_maximin_distance_adjacent_swap_0055,run36_greedy_maximin_distance_adjacent_swap_0055,engineering_baseline,maximin,D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\gnn_candidate_scoring_generation_v01\gnn_run45_candidate_scores.csv,csv:scan_order,"[0, 31, 15, 23, 7, 11, 19, 27, 3, 5, 9, 13, 17, 25, 21, 29, 1, 2, 4, 8, 6, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",True,0.8551199880757192,,,,,
run36_greedy_maximin_distance_adjacent_swap_0066,run36_greedy_maximin_distance_adjacent_swap_0066,engineering_baseline,maximin,D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\gnn_candidate_scoring_generation_v01\gnn_run45_candidate_scores.csv,csv:scan_order,"[0, 31, 15, 23, 7, 11, 19, 27, 3, 5, 9, 13, 17, 25, 21, 29, 1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 24, 22, 26, 28, 30]",True,0.8557162021165599,,,,,
run36_greedy_maximin_distance_adjacent_swap_0072,run36_greedy_maximin_distance_adjacent_swap_0072,engineering_baseline,maximin,D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\gnn_candidate_scoring_generation_v01\gnn_run45_candidate_scores.csv,csv:scan_order,"[0, 31, 15, 23, 7, 11, 19, 27, 3, 5, 9, 17, 13, 25, 21, 29, 1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",True,0.8423013861976449,,,,,
run36_greedy_maximin_distance_adjacent_swap_0073,run36_greedy_maximin_distance_adjacent_swap_0073,engineering_baseline,maximin,D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\gnn_candidate_scoring_generation_v01\gnn_run45_candidate_scores.csv,csv:scan_order,"[0, 31, 23, 15, 7, 11, 19, 27, 5, 3, 9, 13, 17, 21, 25, 29, 1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]",True,0.7884930690117752,,,,,
run36_greedy_maximin_distance_adjacent_swap_0081,run36_greedy_maximin_distance_adjacent_swap_0081,engineering_baseline,maximin,D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\gnn_candidate_scoring_generation_v01\gnn_run45_candidate_scores.csv,csv:scan_order,"[0, 31, 15, 23, 7, 11, 19, 27, 3, 5, 9, 13, 17, 21, 25, 29, 1, 2, 4, 8, 6, 10, 12, 14, 16, 20, 18, 22, 24, 26, 28, 30]",True,0.8341034431360859,,,,,
V02_M00_NDK_R24_V01,V02_M00_NDK_R24_V01,engineering_baseline,method_c,D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\surface_tensile_gradient_full_field_label_backfill_v03\canonical_full_field_surface_gradient_teacher_labels_v03.csv,csv:scan_order,"[9, 16, 22, 13, 6, 18, 20, 11, 4, 24, 27, 15, 8, 17, 29, 31, 2, 0, 5, 19, 25, 14, 10, 21, 23, 12, 7, 28, 30, 26, 3, 1]",True,0.00044851744,0.14119430713355544,0.011949176239610618,7.687717401009965e-05,1.933277504,0.011949176239610618
V02_M00_PGJ_V01,V02_M00_PGJ_V01,engineering_baseline,method_c,D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\surface_tensile_gradient_full_field_label_backfill_v03\canonical_full_field_surface_gradient_teacher_labels_v03.csv,csv:scan_order,"[22, 14, 8, 18, 24, 12, 10, 16, 20, 6, 2, 0, 4, 26, 30, 28, 23, 15, 13, 17, 21, 11, 9, 19, 25, 7, 3, 1, 5, 31, 29, 27]",True,0.00033529042,0.14170864433050157,0.005307646954880927,5.6206265949610875e-05,1.9332765866666666,0.005307646954880927
V02_M00_PGN_R24_V01,V02_M00_PGN_R24_V01,engineering_baseline,method_c,D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\surface_tensile_gradient_full_field_label_backfill_v03\canonical_full_field_surface_gradient_teacher_labels_v03.csv,csv:scan_order,"[22, 0, 30, 10, 18, 4, 26, 14, 2, 28, 8, 20, 6, 24, 12, 16, 31, 1, 29, 9, 21, 3, 27, 11, 19, 5, 23, 13, 25, 7, 17, 15]",True,0.00039711004,0.14182344391942026,0.007322689706221279,0.0001444139857629252,1.9332818986666664,0.007322689706221279
