n,handoff_strategy_name,inp_path,exists,size_bytes,node_section_exists,element_section_exists,node_entry_count,element_entry_count,scan_sequence_complete,cool_sequence_complete,step_final_cooling_exists,final_cooling_after_last_cool,final_cooling_controls_visible,heat_flux_entries_exist,all_expected_heat_sets_present,heat_order_text_verified,heat_order_note,n40_cool_initialInc_0p001_verified,n40_cool_initialInc_note,solver_output_count,verdict,notes
12,S3R74FSD_N12_B01_n12_penalty,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N12S3R74FSD_N12_B01_n12_penalty\J2D_S3R74FSD_N12_B01_n12_penalty.inp,True,45985,True,True,399,336,True,True,True,True,True,True,True,True,observed order matches scan_order,True,not an N40 case,0,PASS,
12,S3R74FSD_N12_B02_n12_penalty,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N12S3R74FSD_N12_B02_n12_penalty\J2D_S3R74FSD_N12_B02_n12_penalty.inp,True,45985,True,True,399,336,True,True,True,True,True,True,True,True,observed order matches scan_order,True,not an N40 case,0,PASS,
12,S3R74FSD_N12_B03_n12_reward_bal,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N12S3R74FSD_N12_B03_n12_reward_bal\J2D_S3R74FSD_N12_B03_n12_reward_bal.inp,True,45988,True,True,399,336,True,True,True,True,True,True,True,True,observed order matches scan_order,True,not an N40 case,0,PASS,
12,S3R74FSD_N12_B04_n12_reward_bal,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N12S3R74FSD_N12_B04_n12_reward_bal\J2D_S3R74FSD_N12_B04_n12_reward_bal.inp,True,45988,True,True,399,336,True,True,True,True,True,True,True,True,observed order matches scan_order,True,not an N40 case,0,PASS,
12,S3R74FSD_N12_B05_n12_final_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N12S3R74FSD_N12_B05_n12_final_top\J2D_S3R74FSD_N12_B05_n12_final_top.inp,True,45987,True,True,399,336,True,True,True,True,True,True,True,True,observed order matches scan_order,True,not an N40 case,0,PASS,
12,S3R74FSD_N12_B06_n12_final_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N12S3R74FSD_N12_B06_n12_final_top\J2D_S3R74FSD_N12_B06_n12_final_top.inp,True,45987,True,True,399,336,True,True,True,True,True,True,True,True,observed order matches scan_order,True,not an N40 case,0,PASS,
12,S3R74FSD_N12_B07_n12_final_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N12S3R74FSD_N12_B07_n12_final_top\J2D_S3R74FSD_N12_B07_n12_final_top.inp,True,45987,True,True,399,336,True,True,True,True,True,True,True,True,observed order matches scan_order,True,not an N40 case,0,PASS,
12,S3R74FSD_N12_B08_n12_final_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N12S3R74FSD_N12_B08_n12_final_top\J2D_S3R74FSD_N12_B08_n12_final_top.inp,True,45987,True,True,399,336,True,True,True,True,True,True,True,True,observed order matches scan_order,True,not an N40 case,0,PASS,
12,S3R74FSD_N12_B09_n12_u2_safe,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N12S3R74FSD_N12_B09_n12_u2_safe\J2D_S3R74FSD_N12_B09_n12_u2_safe.inp,True,45985,True,True,399,336,True,True,True,True,True,True,True,True,observed order matches scan_order,True,not an N40 case,0,PASS,
12,S3R74FSD_N12_B10_n12_u2_safe,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run74_final_smallN_diagnostic_batch32_v01\N12S3R74FSD_N12_B10_n12_u2_safe\J2D_S3R74FSD_N12_B10_n12_u2_safe.inp,True,45985,True,True,399,336,True,True,True,True,True,True,True,True,observed order matches scan_order,True,not an N40 case,0,PASS,
