n,handoff_strategy_name,expected_case_dir,expected_job_name,scan_order_json,expected_cae,expected_inp,expected_jnl,expected_odb,teacher_validated,generation_status,solver_status,notes
24,S3R54CAL64_N24_B01_n24_u2ret_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B01_n24_u2ret_top,J2D_S3R54CAL64_N24_B01_n24_u2ret_top,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_54_run53_calibrated_N24_N40_batch64_handoff_package\scan_orders\scan_order_S3R54CAL64_N24_B01_n24_u2ret_top.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B01_n24_u2ret_top\J2D_S3R54CAL64_N24_B01_n24_u2ret_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B01_n24_u2ret_top\J2D_S3R54CAL64_N24_B01_n24_u2ret_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B01_n24_u2ret_top\J2D_S3R54CAL64_N24_B01_n24_u2ret_top.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B01_n24_u2ret_top\J2D_S3R54CAL64_N24_B01_n24_u2ret_top.odb,False,NOT_GENERATED,NOT_SUBMITTED,Template only. Run54 did not generate CAE/INP/JNL or submit solver jobs.
24,S3R54CAL64_N24_B02_n24_u2ret_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B02_n24_u2ret_top,J2D_S3R54CAL64_N24_B02_n24_u2ret_top,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_54_run53_calibrated_N24_N40_batch64_handoff_package\scan_orders\scan_order_S3R54CAL64_N24_B02_n24_u2ret_top.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B02_n24_u2ret_top\J2D_S3R54CAL64_N24_B02_n24_u2ret_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B02_n24_u2ret_top\J2D_S3R54CAL64_N24_B02_n24_u2ret_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B02_n24_u2ret_top\J2D_S3R54CAL64_N24_B02_n24_u2ret_top.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B02_n24_u2ret_top\J2D_S3R54CAL64_N24_B02_n24_u2ret_top.odb,False,NOT_GENERATED,NOT_SUBMITTED,Template only. Run54 did not generate CAE/INP/JNL or submit solver jobs.
24,S3R54CAL64_N24_B03_n24_u2ret_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B03_n24_u2ret_top,J2D_S3R54CAL64_N24_B03_n24_u2ret_top,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_54_run53_calibrated_N24_N40_batch64_handoff_package\scan_orders\scan_order_S3R54CAL64_N24_B03_n24_u2ret_top.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B03_n24_u2ret_top\J2D_S3R54CAL64_N24_B03_n24_u2ret_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B03_n24_u2ret_top\J2D_S3R54CAL64_N24_B03_n24_u2ret_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B03_n24_u2ret_top\J2D_S3R54CAL64_N24_B03_n24_u2ret_top.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B03_n24_u2ret_top\J2D_S3R54CAL64_N24_B03_n24_u2ret_top.odb,False,NOT_GENERATED,NOT_SUBMITTED,Template only. Run54 did not generate CAE/INP/JNL or submit solver jobs.
24,S3R54CAL64_N24_B04_n24_u2ret_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B04_n24_u2ret_top,J2D_S3R54CAL64_N24_B04_n24_u2ret_top,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_54_run53_calibrated_N24_N40_batch64_handoff_package\scan_orders\scan_order_S3R54CAL64_N24_B04_n24_u2ret_top.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B04_n24_u2ret_top\J2D_S3R54CAL64_N24_B04_n24_u2ret_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B04_n24_u2ret_top\J2D_S3R54CAL64_N24_B04_n24_u2ret_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B04_n24_u2ret_top\J2D_S3R54CAL64_N24_B04_n24_u2ret_top.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B04_n24_u2ret_top\J2D_S3R54CAL64_N24_B04_n24_u2ret_top.odb,False,NOT_GENERATED,NOT_SUBMITTED,Template only. Run54 did not generate CAE/INP/JNL or submit solver jobs.
24,S3R54CAL64_N24_B05_n24_u2ret_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B05_n24_u2ret_repair,J2D_S3R54CAL64_N24_B05_n24_u2ret_repair,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_54_run53_calibrated_N24_N40_batch64_handoff_package\scan_orders\scan_order_S3R54CAL64_N24_B05_n24_u2ret_repair.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B05_n24_u2ret_repair\J2D_S3R54CAL64_N24_B05_n24_u2ret_repair.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B05_n24_u2ret_repair\J2D_S3R54CAL64_N24_B05_n24_u2ret_repair.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B05_n24_u2ret_repair\J2D_S3R54CAL64_N24_B05_n24_u2ret_repair.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B05_n24_u2ret_repair\J2D_S3R54CAL64_N24_B05_n24_u2ret_repair.odb,False,NOT_GENERATED,NOT_SUBMITTED,Template only. Run54 did not generate CAE/INP/JNL or submit solver jobs.
24,S3R54CAL64_N24_B06_n24_u2ret_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B06_n24_u2ret_repair,J2D_S3R54CAL64_N24_B06_n24_u2ret_repair,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_54_run53_calibrated_N24_N40_batch64_handoff_package\scan_orders\scan_order_S3R54CAL64_N24_B06_n24_u2ret_repair.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B06_n24_u2ret_repair\J2D_S3R54CAL64_N24_B06_n24_u2ret_repair.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B06_n24_u2ret_repair\J2D_S3R54CAL64_N24_B06_n24_u2ret_repair.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B06_n24_u2ret_repair\J2D_S3R54CAL64_N24_B06_n24_u2ret_repair.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B06_n24_u2ret_repair\J2D_S3R54CAL64_N24_B06_n24_u2ret_repair.odb,False,NOT_GENERATED,NOT_SUBMITTED,Template only. Run54 did not generate CAE/INP/JNL or submit solver jobs.
24,S3R54CAL64_N24_B07_n24_u2ret_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B07_n24_u2ret_repair,J2D_S3R54CAL64_N24_B07_n24_u2ret_repair,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_54_run53_calibrated_N24_N40_batch64_handoff_package\scan_orders\scan_order_S3R54CAL64_N24_B07_n24_u2ret_repair.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B07_n24_u2ret_repair\J2D_S3R54CAL64_N24_B07_n24_u2ret_repair.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B07_n24_u2ret_repair\J2D_S3R54CAL64_N24_B07_n24_u2ret_repair.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B07_n24_u2ret_repair\J2D_S3R54CAL64_N24_B07_n24_u2ret_repair.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B07_n24_u2ret_repair\J2D_S3R54CAL64_N24_B07_n24_u2ret_repair.odb,False,NOT_GENERATED,NOT_SUBMITTED,Template only. Run54 did not generate CAE/INP/JNL or submit solver jobs.
24,S3R54CAL64_N24_B08_n24_u2ret_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B08_n24_u2ret_repair,J2D_S3R54CAL64_N24_B08_n24_u2ret_repair,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_54_run53_calibrated_N24_N40_batch64_handoff_package\scan_orders\scan_order_S3R54CAL64_N24_B08_n24_u2ret_repair.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B08_n24_u2ret_repair\J2D_S3R54CAL64_N24_B08_n24_u2ret_repair.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B08_n24_u2ret_repair\J2D_S3R54CAL64_N24_B08_n24_u2ret_repair.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B08_n24_u2ret_repair\J2D_S3R54CAL64_N24_B08_n24_u2ret_repair.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B08_n24_u2ret_repair\J2D_S3R54CAL64_N24_B08_n24_u2ret_repair.odb,False,NOT_GENERATED,NOT_SUBMITTED,Template only. Run54 did not generate CAE/INP/JNL or submit solver jobs.
24,S3R54CAL64_N24_B09_penalty_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B09_penalty_repair,J2D_S3R54CAL64_N24_B09_penalty_repair,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_54_run53_calibrated_N24_N40_batch64_handoff_package\scan_orders\scan_order_S3R54CAL64_N24_B09_penalty_repair.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B09_penalty_repair\J2D_S3R54CAL64_N24_B09_penalty_repair.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B09_penalty_repair\J2D_S3R54CAL64_N24_B09_penalty_repair.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B09_penalty_repair\J2D_S3R54CAL64_N24_B09_penalty_repair.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B09_penalty_repair\J2D_S3R54CAL64_N24_B09_penalty_repair.odb,False,NOT_GENERATED,NOT_SUBMITTED,Template only. Run54 did not generate CAE/INP/JNL or submit solver jobs.
24,S3R54CAL64_N24_B10_penalty_repair,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B10_penalty_repair,J2D_S3R54CAL64_N24_B10_penalty_repair,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_54_run53_calibrated_N24_N40_batch64_handoff_package\scan_orders\scan_order_S3R54CAL64_N24_B10_penalty_repair.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B10_penalty_repair\J2D_S3R54CAL64_N24_B10_penalty_repair.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B10_penalty_repair\J2D_S3R54CAL64_N24_B10_penalty_repair.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B10_penalty_repair\J2D_S3R54CAL64_N24_B10_penalty_repair.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run54_calibrated_N24_N40_batch64_v01\N24S3R54CAL64_N24_B10_penalty_repair\J2D_S3R54CAL64_N24_B10_penalty_repair.odb,False,NOT_GENERATED,NOT_SUBMITTED,Template only. Run54 did not generate CAE/INP/JNL or submit solver jobs.
