source_root,relative_path,extension,size_bytes,relevance_score,matched_keywords,contains_range32,contains_32track,contains_scan_order,contains_heat_load,contains_abaqus,contains_mdb,contains_job,notes
D:\Projects\RL-LAM-ScanOpt,.vscode\launch.json,.json,1117,0,,False,False,False,False,False,False,False,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,docs\abaqus_teacher_production_run_notes.md,.md,3815,14,cae;abaqus;inp;heat;track;scan;32track;full;model;generate;lded,False,True,False,False,True,False,True,candidate generation/template source
D:\Projects\RL-LAM-ScanOpt,docs\ACTIVE_STAGE.md,.md,343,2,cae;lded,False,False,False,False,False,False,False,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,docs\CODEBASE_RULES.md,.md,1264,8,cae;load;scan;model;lded,False,False,True,False,False,False,True,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,docs\current_status.md,.md,1982,8,abaqus;inp;track;scan;32track;model;generate;lded,False,True,False,False,True,False,True,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,docs\lded_fea_teacher_pipeline.md,.md,2321,9,abaqus;load;track;scan;32track;model;lded;thermal;stress,False,True,False,False,True,False,True,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,docs\legacy_proxy_rl.md,.md,1952,4,track;scan;model;thermal,False,False,False,False,False,False,False,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,docs\REPO_MAP.md,.md,882,5,cae;abaqus;model;lded;thermal,False,False,False,False,True,False,False,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,docs\scan_strategies\README.md,.md,866,11,cae;abaqus;inp;scan;model,False,False,True,False,True,False,True,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,docs\scan_strategies\windowed_max_dispersion.md,.md,3442,13,cae;abaqus;inp;heat;track;scan;32track;model;lded;thermal,False,True,False,False,True,False,True,candidate generation/template source
D:\Projects\RL-LAM-ScanOpt,docs\stage2\README.md,.md,1329,6,cae;abaqus;track;scan;full;lded,False,True,False,False,True,False,False,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,docs\stage2\STAGE2_CLAIM_BOUNDARY.md,.md,2239,5,track;scan;full;model;generation,False,True,False,False,False,False,False,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,docs\stage2\STAGE2_EVIDENCE_MANIFEST.csv,.csv,2396,3,scan;full;generation,False,True,False,False,False,False,False,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,docs\stage2\STAGE2_FINAL_SUMMARY.md,.md,5171,6,abaqus;track;scan;full;model;stress,False,True,False,False,True,False,False,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,docs\stage2\STAGE2_GITHUB_CLEANUP_REPORT.md,.md,3056,8,cae;abaqus;jnl;track;scan;model;generate;lded,False,False,False,False,True,False,False,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,docs\stage2\STAGE2_GITHUB_README_DRAFT.md,.md,937,4,cae;abaqus;scan;model,False,False,False,False,True,False,False,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,docs\stage2\STAGE2_KEY_RESULTS_TABLE.csv,.csv,3980,2,scan;full,False,True,False,False,False,False,False,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,docs\stage2\STAGE2_LARGE_FILE_AUDIT.txt,.txt,69331,8,cae;track;scan;32track;full;model;lded;stress,False,True,False,False,False,False,True,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,docs\stage2\STAGE2_RUN_INDEX.csv,.csv,4927,6,cae;abaqus;scan;full;model;generate,False,True,False,False,True,False,False,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,docs\stage2\STAGE2_RUN_INDEX.md,.md,4971,4,cae;abaqus;scan;full,False,True,False,False,True,False,False,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,docs\stage2\STAGE2_STAGE3_HANDOFF.md,.md,1072,4,track;full;model;generation,False,False,False,False,False,False,False,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,docs\stage2_final_evidence_package_v01\STAGE2_CLAIM_BOUNDARY.md,.md,2239,5,track;scan;full;model;generation,False,True,False,False,False,False,False,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,docs\stage2_final_evidence_package_v01\stage2_final_evidence_consolidation_report.md,.md,2263,11,cae;abaqus;inp;jnl;load;track;scan;full;model;generate;stress,False,True,False,False,True,False,True,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,docs\stage2_final_evidence_package_v01\STAGE2_FINAL_SUMMARY.md,.md,5171,6,abaqus;track;scan;full;model;stress,False,True,False,False,True,False,False,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,docs\stage2_final_evidence_package_v01\STAGE2_GITHUB_README_DRAFT.md,.md,937,4,cae;abaqus;scan;model,False,False,False,False,True,False,False,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,docs\stage2_final_evidence_package_v01\STAGE2_RUN_INDEX.md,.md,4971,4,cae;abaqus;scan;full,False,True,False,False,True,False,False,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,docs\stage2_final_evidence_package_v01\STAGE2_STAGE3_HANDOFF.md,.md,1072,4,track;full;model;generation,False,False,False,False,False,False,False,supporting source or documentation
D:\Projects\RL-LAM-ScanOpt,docs\stage2_reward_design_masked_teacher.md,.md,5663,12,cae;abaqus;heat;track;scan;full;generation;thermal;stress,False,False,False,False,True,False,False,candidate generation/template source
D:\Projects\RL-LAM-ScanOpt,docs\windowed_max_dispersion_strategy.md,.md,4200,14,cae;abaqus;inp;heat;track;scan;32track;model;generation;lded;thermal,False,True,False,False,True,False,True,candidate generation/template source
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\abaqus_scripts\build_32track_masked_v01_caes_and_inputs.py,.py,36989,55,cae;abaqus;inp;jnl;heat;load;track;scan;32track;full;model;generation;generate;lded,False,True,True,True,True,True,True,candidate generation/template source
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\abaqus_scripts\build_32track_strategy_caes_from_base.py,.py,29642,54,cae;abaqus;inp;jnl;heat;load;track;scan;32track;full;model;lded;thermal,True,True,True,True,True,True,True,candidate generation/template source
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\abaqus_scripts\build_full20_2d_strategy_caes_and_inputs.py,.py,40291,54,cae;abaqus;inp;jnl;heat;load;track;scan;32track;full;model;lded;thermal,False,True,True,True,True,True,True,candidate generation/template source
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\abaqus_scripts\build_masked_UST_probe40_v01_from_handoff.py,.py,11626,56,cae;abaqus;inp;jnl;heat;load;track;scan;32track;full;model;generation;generate;builder;lded,False,True,True,True,True,True,True,candidate generation/template source
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\abaqus_scripts\build_masked_v02_method_c_remaining24_unique_inps.py,.py,28123,55,cae;abaqus;inp;jnl;heat;load;track;scan;32track;full;model;generation;generate;lded,False,True,True,True,True,True,True,candidate generation/template source
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\abaqus_scripts\build_masked_v02_method_c_validation_caes_and_inputs.py,.py,34099,58,cae;abaqus;inp;jnl;heat;load;track;scan;32track;full;model;generation;generate;lded,False,True,True,True,True,True,True,candidate generation/template source
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\abaqus_scripts\build_stage1_full10_2d_strategy_caes.py,.py,38730,54,cae;abaqus;inp;jnl;heat;load;track;scan;32track;full;model;lded;thermal,False,True,True,True,True,True,True,candidate generation/template source
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\abaqus_scripts\clean_method_c_batch_keep_cae_inp_jnl_v01.py,.py,12226,21,cae;abaqus;inp;jnl;track;scan;32track;full;model;lded,False,True,False,False,True,False,False,candidate generation/template source
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\abaqus_scripts\compare_3_strategy_teacher_metrics.py,.py,19096,23,cae;abaqus;inp;load;track;scan;32track;full;model;lded;thermal;stress,False,True,False,False,False,False,True,candidate generation/template source
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\abaqus_scripts\compare_v01_v02_teacher_metrics.py,.py,18233,23,cae;abaqus;inp;load;track;scan;32track;full;model;lded;thermal;stress,False,True,False,False,True,False,True,candidate generation/template source
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\abaqus_scripts\complete_2d_32track_scan_steps_with_final_cooling.py,.py,20437,39,cae;abaqus;inp;jnl;heat;load;track;scan;32track;full;model;generate;lded,False,True,False,True,True,True,True,candidate generation/template source
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\abaqus_scripts\extract_2d_final_field_metrics.py,.py,27040,20,cae;abaqus;track;scan;32track;full;model;lded;stress,False,True,False,False,True,False,True,candidate generation/template source
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\abaqus_scripts\extract_2d_time_history_teacher_metrics.py,.py,26605,26,cae;abaqus;inp;load;track;scan;32track;full;model;lded;thermal;stress,False,True,False,False,False,False,True,candidate generation/template source
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\abaqus_scripts\extract_2d_time_history_teacher_metrics_v02.py,.py,1451,18,cae;abaqus;inp;track;32track;full;lded,False,True,False,False,False,False,True,candidate generation/template source
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\abaqus_scripts\extract_3_strategy_time_history_teacher_metrics.py,.py,2602,23,cae;abaqus;inp;track;scan;32track;full;model;lded,False,True,False,False,False,False,True,candidate generation/template source
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\abaqus_scripts\generate_method_c_batch_cae_inp_v01.py,.py,20772,42,cae;abaqus;inp;heat;load;track;scan;32track;full;model;generation;generate;lded,False,True,True,True,True,False,True,candidate generation/template source
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\abaqus_scripts\generate_method_c_extra20_cae_inp_v01.py,.py,11517,39,cae;abaqus;inp;heat;load;track;scan;32track;full;model;generation;generate;lded,False,True,True,True,True,False,True,candidate generation/template source
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\abaqus_scripts\inspect_full20_odb_readability.py,.py,4830,19,cae;abaqus;track;scan;32track;full;model;lded,False,True,False,False,False,False,True,candidate generation/template source
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\abaqus_scripts\inspect_random_scan_3_odb_readability.py,.py,927,19,cae;abaqus;track;scan;32track;full;model;lded,False,True,False,False,False,False,True,candidate generation/template source
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\abaqus_scripts\prepare_method_c_extra20_abqjobpilot_submission_v01.py,.py,19362,28,cae;abaqus;inp;load;track;scan;32track;full;model;generate;lded,True,True,True,False,True,False,True,candidate generation/template source
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\abaqus_scripts\run_full20_inp_jobs_with_gui.py,.py,25669,25,cae;abaqus;inp;load;track;scan;32track;full;model;lded;thermal,False,True,False,False,True,False,True,candidate generation/template source
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\abaqus_scripts\run_strategy_jobs_sequential.py,.py,21561,25,cae;abaqus;inp;load;track;scan;32track;full;model;lded;thermal,False,True,False,False,True,False,True,candidate generation/template source
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\abaqus_scripts\run_v02_job_from_cae.py,.py,7412,37,cae;abaqus;inp;heat;load;track;scan;32track;full;model;lded,False,True,False,True,True,True,True,candidate generation/template source
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\abaqus_scripts\validate_2d_32track_finalcool_writeinp_datacheck.py,.py,24588,38,cae;abaqus;inp;heat;load;track;scan;32track;full;model;generate;lded,False,True,False,True,True,True,True,candidate generation/template source
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\abaqus_scripts\write_strategy_inputs_from_caes.py,.py,9256,37,cae;abaqus;inp;heat;load;track;scan;32track;full;model;lded,False,True,False,True,True,True,True,candidate generation/template source
D:\Projects\RL-LAM-ScanOpt,LDED_2D_CAE_Framework\cae_models\32track_full\block_interleaved_quarters\block_interleaved_quarters_32track_finalcool_v01.jnl,.jnl,27560,16,cae;jnl;heat;load;track;scan;32track;full;model;lded,False,True,False,True,False,True,True,candidate generation/template source
