run_id,batch_option,batch_name,n,handoff_strategy_name,original_run43_candidate_id,original_run43_strategy_name,candidate_source,generation_method,selection_bucket,priority_role,surrogate_prediction,constrained_reward_prediction,u2_guarded_prediction,predicted_peeq_guarded_score,predicted_surfaceT_guarded_score,gnn_reward_prediction,graph_pointer_policy_score,hybrid_score,uncertainty_score,gnn_vs_surrogate_disagreement,novelty_distance,nearest_existing_teacher_strategy,native_validation_N,N24_N40_focused,constrained_reward_balanced,order_json,order_compact,order_hash,teacher_validated,teacher_validation_status,notes
run_44_run43_constrained_N24_N40_batch32_handoff_package,constrained_N24_N40_batch32,stage3_run44_constrained_N24_N40_batch32_v01,24,S3R44CNS_N24_B01_reward_balanced,R43_N24_C00152,N24_R43_N24_C00152_reward_balanced_local_search,reward_balanced_local_search,offline_mutation_or_pointer_proxy,reward_balanced_local_search,constrained_reward_balance,0.8386842105263131,0.8365703163864264,0.8391378967266911,0.8161842105263132,0.8386842105263131,0.8068759725400432,0.8374291115311909,0.8365703163864264,0.0229540271530913,0.0318082379862699,0.75,S3R34N32INF_N24_B01_graph_pointer,True,True,True,"[22,18,16,14,12,10,8,6,4,2,0,23,21,19,17,15,13,9,7,5,3,1,11,20]",22-18-16-14-12-10-8-6-4-2-0-23-21-19-17-15-13-9-7-5-3-1-11-20,27f393f0ce2b144d,False,NOT_RUN,Run44 handoff only. Constrained N24/N40 batch32 candidate is not teacher-validated.
run_44_run43_constrained_N24_N40_batch32_handoff_package,constrained_N24_N40_batch32,stage3_run44_constrained_N24_N40_batch32_v01,24,S3R44CNS_N24_B02_reward_balanced,R43_N24_C01195,N24_R43_N24_C01195_reward_balanced_local_search,reward_balanced_local_search,offline_mutation_or_pointer_proxy,reward_balanced_local_search,constrained_reward_balance,0.8386842105263131,0.8365703163864264,0.8391378967266911,0.8161842105263132,0.8386842105263131,0.8068759725400432,0.8374291115311909,0.8365703163864264,0.0295249066370014,0.0318082379862699,0.75,S3R34N32INF_N24_B11_n24_calibration,True,True,True,"[22,12,10,8,6,4,2,0,23,21,19,17,15,13,9,7,5,3,1,11,14,16,18,20]",22-12-10-8-6-4-2-0-23-21-19-17-15-13-9-7-5-3-1-11-14-16-18-20,5e49df6c5764087a,False,NOT_RUN,Run44 handoff only. Constrained N24/N40 batch32 candidate is not teacher-validated.
run_44_run43_constrained_N24_N40_batch32_handoff_package,constrained_N24_N40_batch32,stage3_run44_constrained_N24_N40_batch32_v01,24,S3R44CNS_N24_B03_constr_surrogate,R43_N24_C00229,N24_R43_N24_C00229_constrained_surrogate_top,constrained_surrogate_top,existing_pool_selection,constrained_surrogate_top,constrained_reward_balance,0.8386842105263131,0.8365703163864264,0.8391378967266911,0.8161842105263132,0.8386842105263131,0.8068759725400432,0.8374291115311909,0.8365703163864264,0.0274457960067724,0.0318082379862699,0.7916666666666666,S3R34N32INF_N24_B07_sentinel,True,True,True,"[22,16,14,12,10,8,6,4,2,0,23,21,19,17,15,13,9,7,5,3,1,11,18,20]",22-16-14-12-10-8-6-4-2-0-23-21-19-17-15-13-9-7-5-3-1-11-18-20,07cf5c27c902a338,False,NOT_RUN,Run44 handoff only. Constrained N24/N40 batch32 candidate is not teacher-validated.
run_44_run43_constrained_N24_N40_batch32_handoff_package,constrained_N24_N40_batch32,stage3_run44_constrained_N24_N40_batch32_v01,24,S3R44CNS_N24_B04_constr_surrogate,R43_N24_C00893,N24_R43_N24_C00893_constrained_surrogate_top,constrained_surrogate_top,existing_pool_selection,constrained_surrogate_top,constrained_reward_balance,0.8386842105263131,0.8365703163864264,0.8391378967266911,0.8161842105263132,0.8386842105263131,0.8068759725400432,0.8374291115311909,0.8365703163864264,0.0376770477654827,0.0318082379862699,0.25,S3R34N32INF_N24_B11_n24_calibration,True,True,True,"[22,13,9,7,5,3,1,11,15,17,19,21,23,0,2,4,6,8,10,12,14,16,18,20]",22-13-9-7-5-3-1-11-15-17-19-21-23-0-2-4-6-8-10-12-14-16-18-20,f5438f0035e62bba,False,NOT_RUN,Run44 handoff only. Constrained N24/N40 batch32 candidate is not teacher-validated.
run_44_run43_constrained_N24_N40_batch32_handoff_package,constrained_N24_N40_batch32,stage3_run44_constrained_N24_N40_batch32_v01,24,S3R44CNS_N24_B05_peeq_guarded,R43_N24_C00587,N24_R43_N24_C00587_PEEQ_guarded_candidates,PEEQ_guarded_candidates,offline_mutation_or_pointer_proxy,PEEQ_guarded_candidates,constrained_reward_balance,0.825526315789474,0.8234124216495874,0.825980001989852,0.803026315789474,0.825526315789474,0.7942443935926776,0.8374291115311909,0.8234124216495874,0.0406887451681646,0.0312819221967963,0.4166666666666667,S3R34N32INF_N24_B10_n24_calibration,True,True,True,"[20,22,19,17,15,13,9,7,5,3,1,11,21,23,0,2,4,6,8,10,12,14,16,18]",20-22-19-17-15-13-9-7-5-3-1-11-21-23-0-2-4-6-8-10-12-14-16-18,d9d5f9a5686b82cc,False,NOT_RUN,Run44 handoff only. Constrained N24/N40 batch32 candidate is not teacher-validated.
run_44_run43_constrained_N24_N40_batch32_handoff_package,constrained_N24_N40_batch32,stage3_run44_constrained_N24_N40_batch32_v01,24,S3R44CNS_N24_B06_peeq_guarded,R43_N24_C00453,N24_R43_N24_C00453_PEEQ_guarded_candidates,PEEQ_guarded_candidates,offline_mutation_or_pointer_proxy,PEEQ_guarded_candidates,constrained_reward_balance,0.825526315789474,0.8167457549829207,0.825980001989852,0.803026315789474,0.825526315789474,0.7942443935926776,0.8374291115311909,0.8234124216495874,0.0316665429070714,0.0312819221967963,0.0833333333333333,S3R34N32INF_N24_B10_n24_calibration,True,True,True,"[20,22,11,5,3,1,7,9,13,15,17,19,21,23,0,2,4,6,8,10,12,14,16,18]",20-22-11-5-3-1-7-9-13-15-17-19-21-23-0-2-4-6-8-10-12-14-16-18,06f645fb52070d94,False,NOT_RUN,Run44 handoff only. Constrained N24/N40 batch32 candidate is not teacher-validated.
run_44_run43_constrained_N24_N40_batch32_handoff_package,constrained_N24_N40_batch32,stage3_run44_constrained_N24_N40_batch32_v01,24,S3R44CNS_N24_B07_surfacet_guarded,R43_N24_C00763,N24_R43_N24_C00763_SurfaceT_guarded_candidates,SurfaceT_guarded_candidates,offline_mutation_or_pointer_proxy,SurfaceT_guarded_candidates,constrained_reward_balance,0.8386842105263131,0.8365703163864264,0.8391378967266911,0.8161842105263132,0.8386842105263131,0.8068759725400432,0.8374291115311909,0.8365703163864264,0.0250869049633776,0.0318082379862699,0.4166666666666667,S3R34N32INF_N24_B11_n24_calibration,True,True,True,"[22,19,17,15,13,9,7,5,3,1,11,21,23,0,2,4,6,8,10,12,14,16,18,20]",22-19-17-15-13-9-7-5-3-1-11-21-23-0-2-4-6-8-10-12-14-16-18-20,becba9e1bda98c89,False,NOT_RUN,Run44 handoff only. Constrained N24/N40 batch32 candidate is not teacher-validated.
run_44_run43_constrained_N24_N40_batch32_handoff_package,constrained_N24_N40_batch32,stage3_run44_constrained_N24_N40_batch32_v01,24,S3R44CNS_N24_B08_surfacet_guarded,R43_N24_C00253,N24_R43_N24_C00253_SurfaceT_guarded_candidates,SurfaceT_guarded_candidates,offline_mutation_or_pointer_proxy,SurfaceT_guarded_candidates,constrained_reward_balance,0.8386842105263131,0.8299036497197597,0.8391378967266911,0.8161842105263132,0.8386842105263131,0.8068759725400432,0.8374291115311909,0.8365703163864264,0.0315430969660894,0.0318082379862699,0.0833333333333333,S3R34N32INF_N24_B11_n24_calibration,True,True,True,"[22,11,5,3,1,7,9,13,15,17,19,21,23,0,2,4,6,8,10,12,14,16,18,20]",22-11-5-3-1-7-9-13-15-17-19-21-23-0-2-4-6-8-10-12-14-16-18-20,bdb39323d541aaf9,False,NOT_RUN,Run44 handoff only. Constrained N24/N40 batch32 candidate is not teacher-validated.
run_44_run43_constrained_N24_N40_batch32_handoff_package,constrained_N24_N40_batch32,stage3_run44_constrained_N24_N40_batch32_v01,24,S3R44CNS_N24_B09_u2_guarded,R43_N24_C01271,N24_R43_N24_C01271_U2_guarded_local_search,U2_guarded_local_search,offline_mutation_or_pointer_proxy,U2_guarded_local_search,constrained_reward_balance,0.825526315789474,0.8234124216495874,0.825980001989852,0.803026315789474,0.825526315789474,0.7942443935926776,0.8374291115311909,0.8234124216495874,0.0334671875251076,0.0312819221967963,0.1666666666666666,S3R34N32INF_N24_B10_n24_calibration,True,True,True,"[20,22,11,7,5,3,1,9,13,15,17,19,21,23,0,2,4,6,8,10,12,14,16,18]",20-22-11-7-5-3-1-9-13-15-17-19-21-23-0-2-4-6-8-10-12-14-16-18,22a6b4960952d7f0,False,NOT_RUN,Run44 handoff only. Constrained N24/N40 batch32 candidate is not teacher-validated.
run_44_run43_constrained_N24_N40_batch32_handoff_package,constrained_N24_N40_batch32,stage3_run44_constrained_N24_N40_batch32_v01,24,S3R44CNS_N24_B10_u2_guarded,R43_N24_C01942,N24_R43_N24_C01942_U2_guarded_local_search,U2_guarded_local_search,offline_mutation_or_pointer_proxy,U2_guarded_local_search,constrained_reward_balance,0.8235593280075193,0.8213546966275571,0.8237105567409786,0.8010593280075193,0.8235593280075193,0.7923560853220011,0.829867674858223,0.8213546966275571,0.031917509983396,0.0312032426855182,0.75,S3R34N32INF_N24_B07_sentinel,True,True,True,"[20,16,14,12,10,8,6,4,2,0,23,21,19,17,15,13,9,7,5,3,1,11,22,18]",20-16-14-12-10-8-6-4-2-0-23-21-19-17-15-13-9-7-5-3-1-11-22-18,1e362efc7d9e4c81,False,NOT_RUN,Run44 handoff only. Constrained N24/N40 batch32 candidate is not teacher-validated.
