n,objective,rank,value,lower_is_better,strategy_name,handoff_strategy_name,dataset_source,order_hash,order_compact,order_json,teacher_validation_status,completion_status,odb_extraction_status,solver_audit_status,job_name,source_run
12,U2,1,2.20100214392005e-05,True,S3R69SNR_N12_B16_n12_uncertainty,S3R69SNR_N12_B16_n12_uncertainty,run71_smallN_recovery_focused_batch40,2bda5fb0f837e0b2,11-9-5-7-3-1-0-2-4-6-8-10,"[11,9,5,7,3,1,0,2,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R69SNR_N12_B16_n12_uncertainty,Run71
12,U2,2,2.3353248252533376e-05,True,S3B20_N12_B02_diversity_top,S3B20_N12_B02_diversity_top,batch20_run14,,,"[1,11,9,7,5,3,0,2,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,,,,J2D_S3B20_N12_B02_diversity_top,Run14
12,U2,3,2.3353248252533376e-05,True,S3R64VNR_N12_B06_n12_anchor_top,S3R64VNR_N12_B06_n12_anchor_top,run66_variable_N_recovery_anchor_batch48,cea9436fc85171ab,1-11-9-7-5-3-0-2-4-6-8-10,"[1,11,9,7,5,3,0,2,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R64VNR_N12_B06_n12_anchor_top,Run66
12,U2,4,2.4175786620617146e-05,True,S3R74FSD_N12_B09_n12_u2_safe,S3R74FSD_N12_B09_n12_u2_safe,run76_final_smallN_diagnostic_batch32,ed513bfc31893b88,11-9-5-3-7-1-0-2-4-6-8-10,"[11,9,5,3,7,1,0,2,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R74FSD_N12_B09_n12_u2_safe,Run76
12,U2,5,2.502332336007385e-05,True,S3R74FSD_N12_B02_n12_penalty,S3R74FSD_N12_B02_n12_penalty,run76_final_smallN_diagnostic_batch32,386d1b07eed1cd5a,9-11-7-5-3-1-0-2-4-6-8-10,"[9,11,7,5,3,1,0,2,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R74FSD_N12_B02_n12_penalty,Run76
12,PEEQ,1,0.1403219699859619,True,N12_A13_graph_pointer_policy_anti_odd_even_novelty,,probe60_run08,,,"[1,10,3,8,5,6,7,4,9,2,11,0]",PASS_ODB_EXTRACTED,,,,J2D_N12_N12_A13_graph_pointer_policy_anti_odd_even_novelty,Run08
12,PEEQ,2,0.1424328386783599,True,S3R19B28_N12_B03_geometry_signal_top,S3R19B28_N12_B03_geometry_signal_top,batch28_run20,,,"[1,6,5,10,3,8,7,2,9,0,11,4]",PASS_TEACHER_FIELDS_EXTRACTED,,,,J2D_S3R19B28_N12_B03_geometry_signal_top,Run20
12,PEEQ,3,0.1426714956760406,True,S3B20_N12_B04_surrogate_top,S3B20_N12_B04_surrogate_top,batch20_run14,,,"[0,10,8,6,4,2,1,3,5,7,9,11]",PASS_TEACHER_FIELDS_EXTRACTED,,,,J2D_S3B20_N12_B04_surrogate_top,Run14
12,PEEQ,4,0.1430467814207077,True,S3R69SNR_N12_B15_n12_u2_safe,S3R69SNR_N12_B15_n12_u2_safe,run71_smallN_recovery_focused_batch40,0cdd294bdb18b2f4,9-11-1-7-5-3-2-0-4-6-8-10,"[9,11,1,7,5,3,2,0,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R69SNR_N12_B15_n12_u2_safe,Run71
12,PEEQ,5,0.1432445049285888,True,N12_A08_block_interleaved_quarters,,probe60_run08,,,"[0,3,6,9,1,4,7,10,2,5,8,11]",PASS_ODB_EXTRACTED,,,,J2D_N12_N12_A08_block_interleaved_quarters,Run08
12,SurfaceT,1,580752832.0,True,N12_A09_center_edge_alternating,,probe60_run08,,,"[5,0,6,11,4,1,7,10,3,2,8,9]",PASS_ODB_EXTRACTED,,,,J2D_N12_N12_A09_center_edge_alternating,Run08
12,SurfaceT,2,580798976.0,True,N12_A06_edge_in_alternating,,probe60_run08,,,"[0,11,1,10,2,9,3,8,4,7,5,6]",PASS_ODB_EXTRACTED,,,,J2D_N12_N12_A06_edge_in_alternating,Run08
12,SurfaceT,3,580840256.0,True,S3R69SNR_N12_B13_n12_u2_safe,S3R69SNR_N12_B13_n12_u2_safe,run71_smallN_recovery_focused_batch40,fc3ffeccefe451e9,7-11-9-1-5-3-2-0-4-6-8-10,"[7,11,9,1,5,3,2,0,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R69SNR_N12_B13_n12_u2_safe,Run71
12,SurfaceT,4,580873152.0,True,S3R69SNR_N12_B15_n12_u2_safe,S3R69SNR_N12_B15_n12_u2_safe,run71_smallN_recovery_focused_batch40,0cdd294bdb18b2f4,9-11-1-7-5-3-2-0-4-6-8-10,"[9,11,1,7,5,3,2,0,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R69SNR_N12_B15_n12_u2_safe,Run71
12,SurfaceT,5,580913536.0,True,S3R74FSD_N12_B11_n12_u2_safe,S3R74FSD_N12_B11_n12_u2_safe,run76_final_smallN_diagnostic_batch32,456759ca2d4a49d6,11-9-5-7-3-1-0-6-2-4-8-10,"[11,9,5,7,3,1,0,6,2,4,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R74FSD_N12_B11_n12_u2_safe,Run76
12,Mises,1,579937984.0,True,N12_A06_edge_in_alternating,,probe60_run08,,,"[0,11,1,10,2,9,3,8,4,7,5,6]",PASS_ODB_EXTRACTED,,,,J2D_N12_N12_A06_edge_in_alternating,Run08
12,Mises,2,579938048.0,True,N12_A05_center_out,,probe60_run08,,,"[5,6,4,7,3,8,2,9,1,10,0,11]",PASS_ODB_EXTRACTED,,,,J2D_N12_N12_A05_center_out,Run08
12,Mises,3,579938048.0,True,N12_A12_graph_pointer_policy_diverse_02,,probe60_run08,,,"[4,7,3,8,2,9,1,10,0,11,5,6]",PASS_ODB_EXTRACTED,,,,J2D_N12_N12_A12_graph_pointer_policy_diverse_02,Run08
12,Mises,4,579938240.0,True,N12_A15_graph_pointer_policy_balanced_dispersion_proxy,,probe60_run08,,,"[0,5,11,6,4,8,7,2,3,1,9,10]",PASS_ODB_EXTRACTED,,,,J2D_N12_N12_A15_graph_pointer_policy_balanced_dispersion_proxy,Run08
12,Mises,5,579938304.0,True,N12_A09_center_edge_alternating,,probe60_run08,,,"[5,0,6,11,4,1,7,10,3,2,8,9]",PASS_ODB_EXTRACTED,,,,J2D_N12_N12_A09_center_edge_alternating,Run08
12,u2_primary,1,0.8977272727272728,False,S3R74FSD_N12_B02_n12_penalty,S3R74FSD_N12_B02_n12_penalty,run76_final_smallN_diagnostic_batch32,386d1b07eed1cd5a,9-11-7-5-3-1-0-2-4-6-8-10,"[9,11,7,5,3,1,0,2,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R74FSD_N12_B02_n12_penalty,Run76
12,u2_primary,2,0.8912337662337663,False,S3R69SNR_N12_B16_n12_uncertainty,S3R69SNR_N12_B16_n12_uncertainty,run71_smallN_recovery_focused_batch40,2bda5fb0f837e0b2,11-9-5-7-3-1-0-2-4-6-8-10,"[11,9,5,7,3,1,0,2,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R69SNR_N12_B16_n12_uncertainty,Run71
12,u2_primary,3,0.8691558441558442,False,S3R74FSD_N12_B01_n12_penalty,S3R74FSD_N12_B01_n12_penalty,run76_final_smallN_diagnostic_batch32,7e02169f5069d99d,11-7-9-5-3-1-0-2-4-6-8-10,"[11,7,9,5,3,1,0,2,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R74FSD_N12_B01_n12_penalty,Run76
12,u2_primary,4,0.8522727272727272,False,S3R74FSD_N12_B04_n12_reward_bal,S3R74FSD_N12_B04_n12_reward_bal,run76_final_smallN_diagnostic_batch32,b951ef56dcaf8d0c,11-7-5-9-3-1-0-2-4-6-8-10,"[11,7,5,9,3,1,0,2,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R74FSD_N12_B04_n12_reward_bal,Run76
12,u2_primary,5,0.8477272727272728,False,S3R74FSD_N12_B09_n12_u2_safe,S3R74FSD_N12_B09_n12_u2_safe,run76_final_smallN_diagnostic_batch32,ed513bfc31893b88,11-9-5-3-7-1-0-2-4-6-8-10,"[11,9,5,3,7,1,0,2,4,6,8,10]",PASS_TEACHER_FIELDS_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,PASS_ODB_FINAL_FRAME_EXTRACTED,WARNING_SUCCESS_WITH_WARNINGS,J2D_S3R74FSD_N12_B09_n12_u2_safe,Run76
