file_path,row_count,detected_N_or_track_count_values,number_of_N32_rows,available_metric_columns,validation_status_columns,u2_range_complete,peeq_max_complete,surface_t_proxy_complete,mises_max_complete,appears_to_overlap_with_plus_N32_frozen_package,overlap_signature_count,recommendation,recommendation_reason
E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_teacher_dataset.csv,884,12;16;24;32;40,332,mises_max;nt11_mean;peeq_max;surface_t_proxy;u2_range,teacher_validation_status;solver_audit_status;completion_status;odb_extraction_status;teacher_validation_status_run39;teacher_validation_status_run44;teacher_validation_status_run49;teacher_validation_status_run54;teacher_validation_status_run59;teacher_validation_status_run64;teacher_validation_status_run69;teacher_validation_status_run74,332/332,332/332,332/332,332/332,YES,332,USE,preferred frozen plus-N32 unified teacher dataset
E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_combined552_plus_N32_RL_ready_dataset.csv,884,12;16;24;32;40,332,mises_max;nt11_mean;peeq_max;surface_t_proxy;u2_range,teacher_validation_status;solver_audit_status;completion_status;odb_extraction_status;teacher_validation_status_run39;teacher_validation_status_run44;teacher_validation_status_run49;teacher_validation_status_run54;teacher_validation_status_run59;teacher_validation_status_run64;teacher_validation_status_run69;teacher_validation_status_run74,332/332,332/332,332/332,332/332,YES,332,DO_NOT_USE,duplicate RL-ready view; teacher dataset selected for Section 3.2
E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_RL_ready_dataset.csv,552,12;16;24;40,0,mises_max;nt11_mean;peeq_max;surface_t_proxy;u2_range,teacher_validation_status;solver_audit_status;completion_status;odb_extraction_status;teacher_validation_status_run39;teacher_validation_status_run44;teacher_validation_status_run49;teacher_validation_status_run54;teacher_validation_status_run59;teacher_validation_status_run64;teacher_validation_status_run69;teacher_validation_status_run74,0/0,0/0,0/0,0/0,NO,0,DO_NOT_USE,native-only source has no N32 rows
E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_78_final_evidence_freeze_package\FROZEN_stage3_native_combined552_teacher_dataset.csv,552,12;16;24;40,0,mises_max;nt11_mean;peeq_max;surface_t_proxy;u2_range,teacher_validation_status;solver_audit_status;completion_status;odb_extraction_status;teacher_validation_status_run39;teacher_validation_status_run44;teacher_validation_status_run49;teacher_validation_status_run54;teacher_validation_status_run59;teacher_validation_status_run64;teacher_validation_status_run69;teacher_validation_status_run74,0/0,0/0,0/0,0/0,NO,0,DO_NOT_USE,native-only source has no N32 rows
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\GNN_RL_vs_stage1_full32_baseline_audit_v01\GNN_RL_vs_baseline10_rank_table_v01.csv,243,32(path_inferred),243,teacher_PEEQ;teacher_SurfaceT;teacher_U2;teacher_gradient,NONE_DETECTED,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO,0,DO_NOT_USE,missing Stage 3 exact required metric schema or incomplete required metrics
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\GNN_RL_vs_stage1_full32_baseline_audit_v01\GNN_RL_teacher_metric_table_v01.csv,234,32(path_inferred),234,teacher_Mises;teacher_PEEQ;teacher_SurfaceT;teacher_U2;teacher_gradient,label_status,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,YES,190,DO_NOT_USE,missing Stage 3 exact required metric schema or incomplete required metrics
D:\Projects\RL-LAM-ScanOpt\rl-training\v01\outputs\training_tables_v01\episode_table_v01.csv,175,32;64,170,masked_xge4_final_U2_range,scan_order_validation_status,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO,0,DO_NOT_USE,missing Stage 3 exact required metric schema or incomplete required metrics
D:\Projects\RL-LAM-ScanOpt\LDED_2D_CAE_Framework\cae_models\32track_masked_v01\masked_32track_v01_strategy_index.csv,24,32(path_inferred),24,NONE_DETECTED,validation_status;inactive_track_heat_validation_status,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO,0,DO_NOT_USE,missing Stage 3 exact required metric schema or incomplete required metrics
D:\Projects\RL-LAM-ScanOpt\LDED_2D_CAE_Framework\cae_models\32track_masked_v02_method_c_multivariant_remaining24_v01\postprocess_odb_metrics_v01\remaining24_alias_expanded_metrics.csv,24,32(path_inferred),24,NONE_DETECTED,active_track_validation_status,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO,0,DO_NOT_USE,missing Stage 3 exact required metric schema or incomplete required metrics
D:\Projects\RL-LAM-ScanOpt\LDED_2D_CAE_Framework\cae_models\32track_masked_v02_method_c_multivariant_remaining24_v01\postprocess_odb_metrics_v01\remaining24_score_inputs_for_rl.csv,24,32(path_inferred),24,masked_xge4_final_U2_range,NONE_DETECTED,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO,0,DO_NOT_USE,missing Stage 3 exact required metric schema or incomplete required metrics
D:\Projects\RL-LAM-ScanOpt\LDED_2D_CAE_Framework\cae_models\32track_random20_v01\random20_strategy_index.csv,20,32(path_inferred),20,NONE_DETECTED,validation_status;boundary_validation_status;heat_load_validation_status,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO,0,DO_NOT_USE,missing Stage 3 exact required metric schema or incomplete required metrics
D:\Projects\RL-LAM-ScanOpt\LDED_2D_CAE_Framework\cae_models\32track_masked_v02_method_c_multivariant_remaining24_v01\postprocess_odb_metrics_v01\unique18_final_metrics_summary.csv,18,32(path_inferred),18,NONE_DETECTED,active_track_validation_status,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO,0,DO_NOT_USE,missing Stage 3 exact required metric schema or incomplete required metrics
D:\Projects\RL-LAM-ScanOpt\LDED_2D_CAE_Framework\cae_models\32track_masked_v02_method_c_multivariant_remaining24_v01\postprocess_odb_metrics_v01\unique18_preheat_summary.csv,18,32(path_inferred),18,NONE_DETECTED,active_track_validation_status,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NOT_PRESENT,NO,0,DO_NOT_USE,missing Stage 3 exact required metric schema or incomplete required metrics
