target,definition,dataset
target_reward_combined480_u2_primary,0.65 U2 + 0.20 PEEQ + 0.10 SurfaceT + 0.05 Mises,native_combined480
target_reward_combined480_constrained_u2_reward_balanced,0.50 U2 + 0.25 PEEQ + 0.15 SurfaceT + 0.10 Mises,native_combined480
target_reward_combined480_strict_penalty_guard,0.40 U2 + 0.30 PEEQ + 0.20 SurfaceT + 0.10 Mises,native_combined480
target_reward_combined480_penalty_repair,0.30 U2 + 0.30 PEEQ + 0.25 SurfaceT + 0.15 Mises,native_combined480
target_reward_combined480_N12_recovery,N12 recovery target: 0.55 U2 + 0.20 PEEQ + 0.15 SurfaceT + 0.10 Mises,native_combined480
target_reward_combined480_N16_recovery,N16 recovery target: 0.55 U2 + 0.20 PEEQ + 0.15 SurfaceT + 0.10 Mises,native_combined480
target_reward_combined480_smallN_recovery,N12/N16-preferential small-N recovery target using within-N ranks; N24/N40 are not allowed to dominate,native_combined480
target_reward_combined480_variable_N_balanced,Variable-N balanced target with N12/N16 recovery emphasis and N24/N40 frozen-anchor treatment,native_combined480
target_reward_combined480_N24_anchor,N24 frozen-anchor diagnostic target; preserve high-performing region without broad N24 exploitation,native_combined480
target_reward_combined480_N40_anchor,N40 frozen-anchor diagnostic target; preserve U2/reward region without broad N40 exploitation,native_combined480
target_reward_combined480_plus_N32_mapped_u2_primary,mapped U2-primary target with N32 semantic warnings preserved,combined480_plus_N32
target_reward_combined480_plus_N32_strict_u2_surfaceT,strict U2 + SurfaceT target for safer N32 metric semantics,combined480_plus_N32
