n,handoff_strategy_name,expected_case_dir,expected_job_name,scan_order_json,expected_cae,expected_inp,expected_jnl,expected_odb,teacher_validated,generation_status,solver_status,notes
24,S3R39N2440B60_N24_B01_n24_u2_near,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B01_n24_u2_near,J2D_S3R39N2440B60_N24_B01_n24_u2_near,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_39_run38_native_N24_N40_focused_batch60_handoff_package\scan_orders\scan_order_S3R39N2440B60_N24_B01_n24_u2_near.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B01_n24_u2_near\J2D_S3R39N2440B60_N24_B01_n24_u2_near.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B01_n24_u2_near\J2D_S3R39N2440B60_N24_B01_n24_u2_near.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B01_n24_u2_near\J2D_S3R39N2440B60_N24_B01_n24_u2_near.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B01_n24_u2_near\J2D_S3R39N2440B60_N24_B01_n24_u2_near.odb,False,NOT_GENERATED,NOT_SUBMITTED,Template only. Do not execute abqjobpilot/enqueue until INP exists and passes checks.
24,S3R39N2440B60_N24_B02_n24_u2_near,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B02_n24_u2_near,J2D_S3R39N2440B60_N24_B02_n24_u2_near,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_39_run38_native_N24_N40_focused_batch60_handoff_package\scan_orders\scan_order_S3R39N2440B60_N24_B02_n24_u2_near.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B02_n24_u2_near\J2D_S3R39N2440B60_N24_B02_n24_u2_near.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B02_n24_u2_near\J2D_S3R39N2440B60_N24_B02_n24_u2_near.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B02_n24_u2_near\J2D_S3R39N2440B60_N24_B02_n24_u2_near.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B02_n24_u2_near\J2D_S3R39N2440B60_N24_B02_n24_u2_near.odb,False,NOT_GENERATED,NOT_SUBMITTED,Template only. Do not execute abqjobpilot/enqueue until INP exists and passes checks.
24,S3R39N2440B60_N24_B03_n24_u2_near,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B03_n24_u2_near,J2D_S3R39N2440B60_N24_B03_n24_u2_near,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_39_run38_native_N24_N40_focused_batch60_handoff_package\scan_orders\scan_order_S3R39N2440B60_N24_B03_n24_u2_near.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B03_n24_u2_near\J2D_S3R39N2440B60_N24_B03_n24_u2_near.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B03_n24_u2_near\J2D_S3R39N2440B60_N24_B03_n24_u2_near.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B03_n24_u2_near\J2D_S3R39N2440B60_N24_B03_n24_u2_near.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B03_n24_u2_near\J2D_S3R39N2440B60_N24_B03_n24_u2_near.odb,False,NOT_GENERATED,NOT_SUBMITTED,Template only. Do not execute abqjobpilot/enqueue until INP exists and passes checks.
24,S3R39N2440B60_N24_B04_n24_u2_near,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B04_n24_u2_near,J2D_S3R39N2440B60_N24_B04_n24_u2_near,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_39_run38_native_N24_N40_focused_batch60_handoff_package\scan_orders\scan_order_S3R39N2440B60_N24_B04_n24_u2_near.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B04_n24_u2_near\J2D_S3R39N2440B60_N24_B04_n24_u2_near.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B04_n24_u2_near\J2D_S3R39N2440B60_N24_B04_n24_u2_near.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B04_n24_u2_near\J2D_S3R39N2440B60_N24_B04_n24_u2_near.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B04_n24_u2_near\J2D_S3R39N2440B60_N24_B04_n24_u2_near.odb,False,NOT_GENERATED,NOT_SUBMITTED,Template only. Do not execute abqjobpilot/enqueue until INP exists and passes checks.
24,S3R39N2440B60_N24_B05_n24_u2_near,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B05_n24_u2_near,J2D_S3R39N2440B60_N24_B05_n24_u2_near,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_39_run38_native_N24_N40_focused_batch60_handoff_package\scan_orders\scan_order_S3R39N2440B60_N24_B05_n24_u2_near.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B05_n24_u2_near\J2D_S3R39N2440B60_N24_B05_n24_u2_near.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B05_n24_u2_near\J2D_S3R39N2440B60_N24_B05_n24_u2_near.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B05_n24_u2_near\J2D_S3R39N2440B60_N24_B05_n24_u2_near.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B05_n24_u2_near\J2D_S3R39N2440B60_N24_B05_n24_u2_near.odb,False,NOT_GENERATED,NOT_SUBMITTED,Template only. Do not execute abqjobpilot/enqueue until INP exists and passes checks.
24,S3R39N2440B60_N24_B06_n24_u2_near,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B06_n24_u2_near,J2D_S3R39N2440B60_N24_B06_n24_u2_near,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_39_run38_native_N24_N40_focused_batch60_handoff_package\scan_orders\scan_order_S3R39N2440B60_N24_B06_n24_u2_near.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B06_n24_u2_near\J2D_S3R39N2440B60_N24_B06_n24_u2_near.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B06_n24_u2_near\J2D_S3R39N2440B60_N24_B06_n24_u2_near.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B06_n24_u2_near\J2D_S3R39N2440B60_N24_B06_n24_u2_near.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B06_n24_u2_near\J2D_S3R39N2440B60_N24_B06_n24_u2_near.odb,False,NOT_GENERATED,NOT_SUBMITTED,Template only. Do not execute abqjobpilot/enqueue until INP exists and passes checks.
24,S3R39N2440B60_N24_B07_n24_u2_near,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B07_n24_u2_near,J2D_S3R39N2440B60_N24_B07_n24_u2_near,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_39_run38_native_N24_N40_focused_batch60_handoff_package\scan_orders\scan_order_S3R39N2440B60_N24_B07_n24_u2_near.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B07_n24_u2_near\J2D_S3R39N2440B60_N24_B07_n24_u2_near.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B07_n24_u2_near\J2D_S3R39N2440B60_N24_B07_n24_u2_near.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B07_n24_u2_near\J2D_S3R39N2440B60_N24_B07_n24_u2_near.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B07_n24_u2_near\J2D_S3R39N2440B60_N24_B07_n24_u2_near.odb,False,NOT_GENERATED,NOT_SUBMITTED,Template only. Do not execute abqjobpilot/enqueue until INP exists and passes checks.
24,S3R39N2440B60_N24_B08_n24_u2_near,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B08_n24_u2_near,J2D_S3R39N2440B60_N24_B08_n24_u2_near,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_39_run38_native_N24_N40_focused_batch60_handoff_package\scan_orders\scan_order_S3R39N2440B60_N24_B08_n24_u2_near.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B08_n24_u2_near\J2D_S3R39N2440B60_N24_B08_n24_u2_near.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B08_n24_u2_near\J2D_S3R39N2440B60_N24_B08_n24_u2_near.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B08_n24_u2_near\J2D_S3R39N2440B60_N24_B08_n24_u2_near.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B08_n24_u2_near\J2D_S3R39N2440B60_N24_B08_n24_u2_near.odb,False,NOT_GENERATED,NOT_SUBMITTED,Template only. Do not execute abqjobpilot/enqueue until INP exists and passes checks.
24,S3R39N2440B60_N24_B09_hybrid_agree,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B09_hybrid_agree,J2D_S3R39N2440B60_N24_B09_hybrid_agree,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_39_run38_native_N24_N40_focused_batch60_handoff_package\scan_orders\scan_order_S3R39N2440B60_N24_B09_hybrid_agree.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B09_hybrid_agree\J2D_S3R39N2440B60_N24_B09_hybrid_agree.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B09_hybrid_agree\J2D_S3R39N2440B60_N24_B09_hybrid_agree.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B09_hybrid_agree\J2D_S3R39N2440B60_N24_B09_hybrid_agree.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B09_hybrid_agree\J2D_S3R39N2440B60_N24_B09_hybrid_agree.odb,False,NOT_GENERATED,NOT_SUBMITTED,Template only. Do not execute abqjobpilot/enqueue until INP exists and passes checks.
24,S3R39N2440B60_N24_B10_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B10_surrogate_top,J2D_S3R39N2440B60_N24_B10_surrogate_top,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_39_run38_native_N24_N40_focused_batch60_handoff_package\scan_orders\scan_order_S3R39N2440B60_N24_B10_surrogate_top.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B10_surrogate_top\J2D_S3R39N2440B60_N24_B10_surrogate_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B10_surrogate_top\J2D_S3R39N2440B60_N24_B10_surrogate_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B10_surrogate_top\J2D_S3R39N2440B60_N24_B10_surrogate_top.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run39_native_N24_N40_focused_batch60_v01\N24S3R39N2440B60_N24_B10_surrogate_top\J2D_S3R39N2440B60_N24_B10_surrogate_top.odb,False,NOT_GENERATED,NOT_SUBMITTED,Template only. Do not execute abqjobpilot/enqueue until INP exists and passes checks.
