n,handoff_strategy_name,inp_path,exists,size_bytes,node_section_exists,element_section_exists,node_entry_count,element_entry_count,scan_sequence_complete,cool_sequence_complete,step_final_cooling_exists,final_cooling_after_last_cool,final_cooling_controls_visible,heat_flux_entries_exist,all_expected_heat_sets_present,heat_order_text_verified,heat_order_note,solver_output_count,verdict,notes
12,S3R24L64_N12_B01_top_region,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run24_shortlist64_active_learning_calibration_v01\N12S3R24L64_N12_B01_top_region\J2D_S3R24L64_N12_B01_top_region.inp,True,45984,True,True,399,336,True,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
12,S3R24L64_N12_B02_top_region,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run24_shortlist64_active_learning_calibration_v01\N12S3R24L64_N12_B02_top_region\J2D_S3R24L64_N12_B02_top_region.inp,True,45984,True,True,399,336,True,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
12,S3R24L64_N12_B03_model_disagreement,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run24_shortlist64_active_learning_calibration_v01\N12S3R24L64_N12_B03_model_disagreement\J2D_S3R24L64_N12_B03_model_disagreement.inp,True,45992,True,True,399,336,True,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
12,S3R24L64_N12_B04_uncertainty_calibration,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run24_shortlist64_active_learning_calibration_v01\N12S3R24L64_N12_B04_uncertainty_calibration\J2D_S3R24L64_N12_B04_uncertainty_calibration.inp,True,45997,True,True,399,336,True,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
12,S3R24L64_N12_B05_diversity_coverage,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run24_shortlist64_active_learning_calibration_v01\N12S3R24L64_N12_B05_diversity_coverage\J2D_S3R24L64_N12_B05_diversity_coverage.inp,True,45992,True,True,399,336,True,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
12,S3R24L64_N12_B06_tradeoff_probe,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run24_shortlist64_active_learning_calibration_v01\N12S3R24L64_N12_B06_tradeoff_probe\J2D_S3R24L64_N12_B06_tradeoff_probe.inp,True,45988,True,True,399,336,True,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
12,S3R24L64_N12_B07_sentinel_control,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run24_shortlist64_active_learning_calibration_v01\N12S3R24L64_N12_B07_sentinel_control\J2D_S3R24L64_N12_B07_sentinel_control.inp,True,45990,True,True,399,336,True,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
12,S3R24L64_N12_B08_exploitation_reference,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run24_shortlist64_active_learning_calibration_v01\N12S3R24L64_N12_B08_exploitation_reference\J2D_S3R24L64_N12_B08_exploitation_reference.inp,True,45996,True,True,399,336,True,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
16,S3R24L64_N16_B01_top_region,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run24_shortlist64_active_learning_calibration_v01\N16S3R24L64_N16_B01_top_region\J2D_S3R24L64_N16_B01_top_region.inp,True,58872,True,True,511,432,True,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
16,S3R24L64_N16_B02_top_region,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run24_shortlist64_active_learning_calibration_v01\N16S3R24L64_N16_B02_top_region\J2D_S3R24L64_N16_B02_top_region.inp,True,58872,True,True,511,432,True,True,True,True,True,True,True,True,observed order matches scan_order,0,PASS,
