N,objective_view,best_strategy,best_value,value_orientation,within_N_rank,candidate_family,broad_family_label,source_run,same_as_U2_best,claim_role
N12,U2,S3R69SNR_N12_B16_n12_uncertainty,2.20100214392005e-05,lower_is_better,1,uncertainty,uncertainty,Run71,True,native_within_N_leaderboard_only
N12,u2_primary,S3R74FSD_N12_B02_n12_penalty,0.8977272727272728,higher_is_better_reward,1,penalty_repair,penalty_repair,Run76,False,native_within_N_leaderboard_only
N12,constrained_reward,S3R74FSD_N12_B02_n12_penalty,0.859090909090909,higher_is_better_reward,1,penalty_repair,penalty_repair,Run76,False,native_within_N_leaderboard_only
N12,strict_penalty_guard,S3R74FSD_N12_B02_n12_penalty,0.8538961038961039,higher_is_better_reward,1,penalty_repair,penalty_repair,Run76,False,native_within_N_leaderboard_only
N12,penalty_repair,S3R74FSD_N12_B01_n12_penalty,0.8275974025974026,higher_is_better_reward,1,penalty_repair,penalty_repair,Run76,False,native_within_N_leaderboard_only
N16,U2,S3R74FSD_N16_B13_n16_run71_local,2.926077831943985e-05,lower_is_better,1,recovery_anchor,recovery_anchor,Run76,True,native_within_N_leaderboard_only
N16,u2_primary,S3R74FSD_N16_B01_n16_penalty,0.9233766233766234,higher_is_better_reward,1,penalty_repair,penalty_repair,Run76,False,native_within_N_leaderboard_only
N16,constrained_reward,S3R74FSD_N16_B01_n16_penalty,0.8805194805194806,higher_is_better_reward,1,penalty_repair,penalty_repair,Run76,False,native_within_N_leaderboard_only
N16,strict_penalty_guard,S3R74FSD_N16_B01_n16_penalty,0.8818181818181817,higher_is_better_reward,1,penalty_repair,penalty_repair,Run76,False,native_within_N_leaderboard_only
N16,penalty_repair,S3R74FSD_N16_B01_n16_penalty,0.837012987012987,higher_is_better_reward,1,penalty_repair,penalty_repair,Run76,False,native_within_N_leaderboard_only
N24,U2,S3R49SCN_N24_B09_median_guard,2.9523077955673216e-05,lower_is_better,1,penalty_repair,penalty_repair,Run51,True,native_within_N_leaderboard_only
N24,u2_primary,S3R44CNS_N24_B16_uncertainty,0.8718253968253968,higher_is_better_reward,1,penalty_repair,penalty_repair,Run46,False,native_within_N_leaderboard_only
N24,constrained_reward,S3R44CNS_N24_B16_uncertainty,0.8558201058201058,higher_is_better_reward,1,penalty_repair,penalty_repair,Run46,False,native_within_N_leaderboard_only
N24,strict_penalty_guard,S3R44CNS_N24_B16_uncertainty,0.8505291005291007,higher_is_better_reward,1,penalty_repair,penalty_repair,Run46,False,native_within_N_leaderboard_only
N24,penalty_repair,S3R69SNR_N24_B04_n24_uncertainty,0.8466931216931217,higher_is_better_reward,1,uncertainty,uncertainty,Run71,False,native_within_N_leaderboard_only
N40,U2,S3R64VNR_N40_B15_n40_u2ret_anchor,4.5779268475598656e-05,lower_is_better,1,surrogate_guided,surrogate_guided,Run66,True,native_within_N_leaderboard_only
N40,u2_primary,S3R64VNR_N40_B03_n40_penalty_anchor,0.9395121951219512,higher_is_better_reward,1,penalty_repair,penalty_repair,Run66,False,native_within_N_leaderboard_only
N40,constrained_reward,S3R64VNR_N40_B03_n40_penalty_anchor,0.9097560975609756,higher_is_better_reward,1,penalty_repair,penalty_repair,Run66,False,native_within_N_leaderboard_only
N40,strict_penalty_guard,S3R64VNR_N40_B03_n40_penalty_anchor,0.8985365853658538,higher_is_better_reward,1,penalty_repair,penalty_repair,Run66,False,native_within_N_leaderboard_only
N40,penalty_repair,S3R64VNR_N40_B03_n40_penalty_anchor,0.8760975609756098,higher_is_better_reward,1,penalty_repair,penalty_repair,Run66,False,native_within_N_leaderboard_only
