n,strategy_name,order_json,order_compact,candidate_source,predicted_surrogate_reward_lex,expected_future_case_dir,expected_future_inp,teacher_validation_status,stageE_required
12,PPOV01_N12_B01_deterministic,"[11,1,3,9,7,5,0,2,4,6,8,10]","11,1,3,9,7,5,0,2,4,6,8,10",PPO_checkpoint_inference,0.8529129529657291,STAGE_E_PLACEHOLDER_CASE_DIR/PPOV01_N12_B01_deterministic,STAGE_E_PLACEHOLDER_INP/PPOV01_N12_B01_deterministic.inp,NOT_YET_VALIDATED,True
12,PPOV01_N12_B02_surrogate_top,"[11,1,3,7,9,5,0,2,4,6,8,10]","11,1,3,7,9,5,0,2,4,6,8,10",PPO_checkpoint_inference,0.8737226982126863,STAGE_E_PLACEHOLDER_CASE_DIR/PPOV01_N12_B02_surrogate_top,STAGE_E_PLACEHOLDER_INP/PPOV01_N12_B02_surrogate_top.inp,NOT_YET_VALIDATED,True
12,PPOV01_N12_B03_surrogate_top,"[11,3,1,9,7,5,0,2,4,6,8,10]","11,3,1,9,7,5,0,2,4,6,8,10",PPO_checkpoint_inference,0.8505970487716251,STAGE_E_PLACEHOLDER_CASE_DIR/PPOV01_N12_B03_surrogate_top,STAGE_E_PLACEHOLDER_INP/PPOV01_N12_B03_surrogate_top.inp,NOT_YET_VALIDATED,True
12,PPOV01_N12_B04_surrogate_top,"[11,3,1,7,9,5,0,2,4,6,8,10]","11,3,1,7,9,5,0,2,4,6,8,10",PPO_checkpoint_inference,0.8187143232220564,STAGE_E_PLACEHOLDER_CASE_DIR/PPOV01_N12_B04_surrogate_top,STAGE_E_PLACEHOLDER_INP/PPOV01_N12_B04_surrogate_top.inp,NOT_YET_VALIDATED,True
12,PPOV01_N12_B05_diverse_tophalf,"[11,3,1,5,9,7,0,2,4,6,8,10]","11,3,1,5,9,7,0,2,4,6,8,10",PPO_checkpoint_inference,0.8129213804549555,STAGE_E_PLACEHOLDER_CASE_DIR/PPOV01_N12_B05_diverse_tophalf,STAGE_E_PLACEHOLDER_INP/PPOV01_N12_B05_diverse_tophalf.inp,NOT_YET_VALIDATED,True
12,PPOV01_N12_B06_diverse_tophalf,"[11,1,3,9,7,5,0,2,4,6,10,8]","11,1,3,9,7,5,0,2,4,6,10,8",PPO_checkpoint_inference,0.7882549240365492,STAGE_E_PLACEHOLDER_CASE_DIR/PPOV01_N12_B06_diverse_tophalf,STAGE_E_PLACEHOLDER_INP/PPOV01_N12_B06_diverse_tophalf.inp,NOT_YET_VALIDATED,True
12,PPOV01_N12_B07_novelty_tophalf,"[11,1,3,9,7,5,0,4,2,6,8,10]","11,1,3,9,7,5,0,4,2,6,8,10",PPO_checkpoint_inference,0.7370404978212047,STAGE_E_PLACEHOLDER_CASE_DIR/PPOV01_N12_B07_novelty_tophalf,STAGE_E_PLACEHOLDER_INP/PPOV01_N12_B07_novelty_tophalf.inp,NOT_YET_VALIDATED,True
12,PPOV01_N12_B08_stochastic_highreward,"[11,1,3,7,5,9,0,2,4,6,8,10]","11,1,3,7,5,9,0,2,4,6,8,10",PPO_checkpoint_inference,0.7536801236535111,STAGE_E_PLACEHOLDER_CASE_DIR/PPOV01_N12_B08_stochastic_highreward,STAGE_E_PLACEHOLDER_INP/PPOV01_N12_B08_stochastic_highreward.inp,NOT_YET_VALIDATED,True
16,PPOV01_N16_B01_deterministic,"[11,1,3,15,13,9,7,5,0,2,4,6,8,10,12,14]","11,1,3,15,13,9,7,5,0,2,4,6,8,10,12,14",PPO_checkpoint_inference,0.9084376021752424,STAGE_E_PLACEHOLDER_CASE_DIR/PPOV01_N16_B01_deterministic,STAGE_E_PLACEHOLDER_INP/PPOV01_N16_B01_deterministic.inp,NOT_YET_VALIDATED,True
16,PPOV01_N16_B02_surrogate_top,"[11,1,3,15,13,9,7,5,0,2,4,6,8,10,14,12]","11,1,3,15,13,9,7,5,0,2,4,6,8,10,14,12",PPO_checkpoint_inference,0.9350656517719895,STAGE_E_PLACEHOLDER_CASE_DIR/PPOV01_N16_B02_surrogate_top,STAGE_E_PLACEHOLDER_INP/PPOV01_N16_B02_surrogate_top.inp,NOT_YET_VALIDATED,True
