n,candidate_id,strategy_name,candidate_family,candidate_source,generation_method,seed_strategy,mutation_type,mutation_distance,order_json,order_compact,order_hash,is_existing_teacher_order,priority_n_role,existing_reward_mean_all,pred_reward_mean_all,pred_reward_v01_u2_primary,pred_u2_score_rank,pred_peeq_score_rank,pred_surfaceT_score_rank,tree_prediction_mean,pred_uncertainty_std,pred_rank_within_n,pred_percentile_within_n,ensemble_disagreement_flag,nearest_existing_strategy,novelty_distance_to_nearest_existing,diversity_score,selection_bucket,shortlist_rank_within_n,teacher_batch20_rank_within_n
12,RUN12_N12_C00417,N12_RUN12_N12_C00417_mutate_reverse_short_segment,mutation,surrogate_mutation,mutate_reverse_short_segment,N12_A02_odd_even_interlaced,reverse_short_segment,1,"[0,2,4,10,8,6,1,3,5,7,9,11]","0,2,4,10,8,6,1,3,5,7,9,11",ddeac1737cd4186c,False,sanity_small_N_diagnostic,,0.7767226608929189,0.7970864484089196,0.825093421101125,0.8329201013164221,0.37386385442852293,0.7767226608929189,0.1078570361595807,2,0.9992057188244639,False,N12_A02_odd_even_interlaced,0.045454545454545456,0.045454545454545456,surrogate_top,1,
12,RUN12_N12_C00024,N12_RUN12_N12_C00024_regular_jump_non_coprime_sentinel,regular_jump_sentinel,engineering_baseline,regular_jump_non_coprime_sentinel,,,,"[0,10,8,6,4,2,1,3,5,7,9,11]","0,10,8,6,4,2,1,3,5,7,9,11",689e550783923e35,False,sanity_small_N_diagnostic,,0.776602931332815,0.7961249912368648,0.8466430533430281,0.7397216394046329,0.33263360833570826,0.776602931332815,0.09967508742031235,3,0.9984114376489277,False,N12_A02_odd_even_interlaced,0.15151515151515152,0.15151515151515152,surrogate_top,2,
12,RUN12_N12_C00414,N12_RUN12_N12_C00414_mutate_reverse_short_segment,mutation,surrogate_mutation,mutate_reverse_short_segment,N12_A02_odd_even_interlaced,reverse_short_segment,1,"[0,2,4,6,10,8,1,3,5,7,9,11]","0,2,4,6,10,8,1,3,5,7,9,11",5e763bfd943521e1,False,sanity_small_N_diagnostic,,0.7726359545437126,0.7939793055517768,0.8258870718947758,0.8319280378243586,0.3530892004098274,0.7726359545437126,0.1050507539805205,5,0.9968228752978554,False,N12_A02_odd_even_interlaced,0.015151515151515152,0.015151515151515152,surrogate_top,3,
12,RUN12_N12_C00429,N12_RUN12_N12_C00429_mutate_reverse_short_segment,mutation,surrogate_mutation,mutate_reverse_short_segment,N12_A02_odd_even_interlaced,reverse_short_segment,1,"[0,2,4,6,8,10,3,1,5,7,9,11]","0,2,4,6,8,10,3,1,5,7,9,11",ca5c9cf99a8b5fed,False,sanity_small_N_diagnostic,,0.7726359545437126,0.7939793055517768,0.8258870718947758,0.8319280378243586,0.3530892004098274,0.7726359545437126,0.1050507539805205,6,0.9960285941223193,False,N12_A02_odd_even_interlaced,0.015151515151515152,0.015151515151515152,surrogate_top,4,
12,RUN12_N12_C00025,N12_RUN12_N12_C00025_regular_jump_non_coprime_sentinel,regular_jump_sentinel,engineering_baseline,regular_jump_non_coprime_sentinel,,,,"[1,3,5,7,9,11,0,2,4,6,8,10]","1,3,5,7,9,11,0,2,4,6,8,10",115d71ae6e3eed52,False,sanity_small_N_diagnostic,,0.7717906551993977,0.8020890407455569,0.8133823494888367,0.8465241262597328,0.5153944926596732,0.7717906551993977,0.1415606115298006,7,0.9952343129467831,False,N12_A01_raster_left_to_right,0.3181818181818182,0.3181818181818182,surrogate_top,5,
12,RUN12_N12_C00299,N12_RUN12_N12_C00299_mutate_reverse_short_segment,mutation,surrogate_mutation,mutate_reverse_short_segment,N12_A04_method_c_u2_first_engineering,reverse_short_segment,1,"[0,2,4,10,8,6,5,3,1,7,9,11]","0,2,4,10,8,6,5,3,1,7,9,11",5599d4a477158bae,False,sanity_small_N_diagnostic,,0.768011901191311,0.7932344075925932,0.8204502342401963,0.7694485814440746,0.3906455483194429,0.768011901191311,0.11189322565173676,8,0.9944400317712471,False,N12_A04_method_c_u2_first_engineering,0.045454545454545456,0.045454545454545456,surrogate_top,6,
12,RUN12_N12_C00350,N12_RUN12_N12_C00350_mutate_perturb_last_quarter,mutation,surrogate_mutation,mutate_perturb_last_quarter,N12_A04_method_c_u2_first_engineering,perturb_last_quarter,1,"[0,2,4,6,8,10,5,3,1,7,11,9]","0,2,4,6,8,10,5,3,1,7,11,9",5d96740d04d557d9,False,sanity_small_N_diagnostic,,0.7653866372731215,0.7845243964375935,0.8232345059400784,0.8205361361274758,0.4008328974526446,0.7653866372731216,0.11516911780477426,9,0.9936457505957109,False,N12_A04_method_c_u2_first_engineering,0.015151515151515152,0.015151515151515152,surrogate_top,7,
12,RUN12_N12_C00303,N12_RUN12_N12_C00303_mutate_reverse_short_segment,mutation,surrogate_mutation,mutate_reverse_short_segment,N12_A04_method_c_u2_first_engineering,reverse_short_segment,3,"[0,2,4,6,10,8,5,1,11,9,7,3]","0,2,4,6,10,8,5,1,11,9,7,3",2167d050c97b1988,False,sanity_small_N_diagnostic,,0.7636081773936293,0.7850366495829988,0.8531105141289713,0.7784496676212371,0.5436886436015924,0.7636081773936293,0.11088813240807148,10,0.9928514694201748,False,N12_A04_method_c_u2_first_engineering,0.12121212121212122,0.12121212121212122,surrogate_top,8,
12,RUN12_N12_C00270,N12_RUN12_N12_C00270_mutate_swap_two_positions,mutation,surrogate_mutation,mutate_swap_two_positions,N12_A04_method_c_u2_first_engineering,swap_two_positions,1,"[0,2,6,4,8,10,5,3,1,7,9,11]","0,2,6,4,8,10,5,3,1,7,9,11",1920cac84ad66fbe,False,sanity_small_N_diagnostic,,0.7636053674318518,0.7818160631042601,0.8256863199990352,0.8177279414307611,0.4055124237746273,0.7636053674318518,0.12065893315619731,11,0.9920571882446386,False,N12_A04_method_c_u2_first_engineering,0.015151515151515152,0.015151515151515152,surrogate_top,9,
12,RUN12_N12_C00271,N12_RUN12_N12_C00271_mutate_swap_two_positions,mutation,surrogate_mutation,mutate_swap_two_positions,N12_A04_method_c_u2_first_engineering,swap_two_positions,1,"[0,2,4,8,6,10,5,3,1,7,9,11]","0,2,4,8,6,10,5,3,1,7,9,11",0a63b628b60ffbe5,False,sanity_small_N_diagnostic,,0.7624148912413755,0.7807049519931492,0.8246942565069717,0.8094938144466342,0.4025957571079607,0.7624148912413756,0.11915703162729072,12,0.9912629070691025,False,N12_A04_method_c_u2_first_engineering,0.015151515151515152,0.015151515151515152,surrogate_top,10,
