role_name,what_it_is,what_it_is_not,evidence_paths,manuscript_safe_wording,unsafe_wording_to_avoid,recommended_section
MDP / RL formulation,"A mask-aware sequential decision formulation in which a scan order is built one legal track at a time.","It is not evidence that online reinforcement learning was trained with Abaqus in the loop.","docs/stage3/STAGE3_CLAIM_BOUNDARY.md; outputs/stage3_run_78_final_evidence_freeze_package/stage3_final_claim_boundary.md","We formulate scan-order optimization as a finite-horizon sequential decision problem with legal-action masking.","Online Abaqus RL solved scan-order control.","Methods 2.2"
Run26 GNN reward regressor,"A trainable PyTorch line-graph message-passing reward regressor trained offline on combined108 teacher-labelled data.","It is not a deployed GNN pointer policy and not an actor-critic controller.","scripts/stage3/run_26_gnn_graph_pointer_policy_candidate_generation.py; outputs/stage3_run_26_combined108_gnn_graph_pointer_policy_candidate_generation/gnn_reward_model_validation_summary.json; docs/stage3/runs/run_26_combined108_gnn_graph_pointer_policy_candidate_generation/RUN_26_COMBINED108_GNN_GRAPH_POINTER_POLICY_CANDIDATE_GENERATION_REPORT.md","Run26 included an offline GNN reward-regression diagnostic over adjacent-track graph features.","A GNN-pointer RL policy was trained and deployed as the final optimizer.","Methods 2.2 / supplementary diagnostics"
Run26 MLP pointer action scorer,"A separate MLP action scorer with pointer-style masked decoding trained by reward-weighted behavior cloning on observed teacher sequences.","It is not PPO, not actor-critic, not online RL, and not the same module as the GNN reward regressor.","scripts/stage3/run_26_gnn_graph_pointer_policy_candidate_generation.py; outputs/stage3_run_26_combined108_gnn_graph_pointer_policy_candidate_generation/graph_pointer_policy_validation_summary.json; outputs/stage3_run_26_combined108_gnn_graph_pointer_policy_candidate_generation/graph_pointer_policy_training_log.csv","The pointer-style scorer was trained offline by reward-weighted behavior cloning and used as a policy-learning diagnostic.","PPO-trained graph pointer controller; online learned policy.","Methods 2.2 / Table 2.3"
Run06 deterministic graph-pointer proxy,"A deterministic proxy generator that produced graph-pointer-inspired candidate orders before teacher validation.","It is not a trained RL policy and not teacher validation by itself.","src/policies/graph_pointer_policy.py; docs/stage3/runs/run_06_variable_n_probe60_candidate_order_generation/RUN_06_VARIABLE_N_PROBE60_CANDIDATE_ORDER_GENERATION_REPORT.md; outputs/stage3_run_06_variable_n_probe60_candidate_order_generation","Run06 provided deterministic graph-pointer proxy candidates for early probing.","Run06 trained a graph-pointer RL model.","Methods context / prior candidate families"
Later OrderGraphMLP diagnostic,"A later graph/order model diagnostic used in model-update runs where available in the run artifacts.","It is not the sole final optimizer and not evidence of GNN/RL superiority.","outputs/stage3_run_43_combined264_constrained_N24_N40_reward_balanced_candidate_generation; outputs/stage3_run_48_combined296_stricter_constrained_N24_N40_candidate_generation; outputs/stage3_run_53_combined328_calibrated_N24_N40_batch64_candidate_generation; outputs/stage3_run_58_combined392_model_update_N24_N40_evidence_freeze_and_N40_focused_candidate_generation; outputs/stage3_run_63_combined432_model_update_N24_N40_evidence_freeze_and_N12_N16_recovery_candidate_generation; outputs/stage3_run_68_combined480_model_update_smallN_recovery_candidate_generation; outputs/stage3_run_73_combined520_model_update_final_smallN_diagnostic_candidate_generation","Later graph/order models are reported as auxiliary diagnostics within the offline model-update loop.","The final result was produced by a deployed OrderGraphMLP controller.","Results diagnostics / supplement"
Later transition-frequency pointer diagnostic,"A pointer-like transition-frequency/order diagnostic used to characterize learned or empirical transition preferences where present in later update artifacts.","It is not an online RL policy and not final controller evidence.","outputs/stage3_run_43_combined264_constrained_N24_N40_reward_balanced_candidate_generation; outputs/stage3_run_48_combined296_stricter_constrained_N24_N40_candidate_generation; outputs/stage3_run_53_combined328_calibrated_N24_N40_batch64_candidate_generation; outputs/stage3_run_58_combined392_model_update_N24_N40_evidence_freeze_and_N40_focused_candidate_generation; outputs/stage3_run_63_combined432_model_update_N24_N40_evidence_freeze_and_N12_N16_recovery_candidate_generation; outputs/stage3_run_68_combined480_model_update_smallN_recovery_candidate_generation; outputs/stage3_run_73_combined520_model_update_final_smallN_diagnostic_candidate_generation","Transition-frequency and pointer-style diagnostics are auxiliary evidence about sequence structure.","A transition-frequency diagnostic is a deployed RL controller.","Results diagnostics / supplement"
Surrogate-guided active-learning selection,"The main offline optimization loop that updated surrogate diagnostics, selected novel/diverse/uncertain candidates, and then used teacher validation for chosen batches.","It is not online RL and not new candidate generation in this clarification package.","scripts/stage3/run_23_generate_active_learning_coverage_calibration_candidates.py; scripts/stage3/run_29_combined172_surrogate_gnn_hybrid_policy_update_and_candidate_generation.py; scripts/stage3/run_43_combined264_constrained_N24_N40_reward_balanced_candidate_generation.py; scripts/stage3/run_48_combined296_stricter_constrained_N24_N40_candidate_generation.py; scripts/stage3/run_53_combined328_calibrated_N24_N40_batch64_candidate_generation.py; scripts/stage3/run_58_combined392_model_update_N24_N40_evidence_freeze_and_N40_focused_candidate_generation.py; scripts/stage3/run_63_combined432_model_update_N24_N40_evidence_freeze_and_N12_N16_recovery_candidate_generation.py; scripts/stage3/run_68_combined480_model_update_smallN_recovery_candidate_generation.py; scripts/stage3/run_73_combined520_model_update_final_smallN_diagnostic_candidate_generation.py","The implemented loop is teacher-guided and offline, combining surrogate-guided active learning, novelty/diversity selection, policy-learning diagnostics, and teacher validation.","The final batches came from a single online RL controller.","Methods 2.3 / Results"
Abaqus teacher validation,"The expensive teacher stage that evaluates selected scan orders and provides labels for the evidence dataset.","It does not train an online controller and does not prove global optimality.","outputs/stage3_run_76_final_smallN_diagnostic_batch32_odb_teacher_validation; outputs/stage3_run_77_final_smallN_diagnostic_batch32_teacher_metrics_ingestion_and_combined552_final_evidence_readiness; outputs/stage3_run_78_final_evidence_freeze_package/FROZEN_stage3_native_combined552_teacher_dataset.csv","Abaqus teacher simulations validate selected scan orders and supply labels for offline model updates.","Abaqus was used as an online RL environment.","Methods validation / Results"
Old Maskable PPO code,"Legacy PPO code for a different/default scan-planning environment under rl/ and older asset outputs.","It is not the Stage 3 deposition-track GNN pointer implementation and should not be cited as the current paper's main algorithm.","rl/train_maskable_ppo.py; rl/eval_policy.py; assets/models/maskable_ppo_twi.zip; scripts/run_ppo_smoke.py; scripts/run_segment_ppo_smoke.py","PPO is excluded from the current Stage 3 claim and reserved for future work.","PPO-based scan-order optimization is the main method in this paper.","Discussion / future work"
Final Stage 3 evidence package,"The frozen paper-facing evidence package based on native combined552 teacher-labelled data and final claim boundaries.","It does not support claiming a single deployed GNN-encoded graph-pointer RL policy as the main final optimizer.","outputs/stage3_run_78_final_evidence_freeze_package/stage3_final_claim_boundary.md; outputs/stage3_run_78_final_evidence_freeze_package/stage3_final_claim_evidence_map.md; outputs/stage3_run_78_final_evidence_freeze_package/STAGE3_FINAL_EVIDENCE_FREEZE_SUMMARY.md","The final evidence supports bounded variable-N scan-order optimization within tested N values and strategy space, with GNN/pointer diagnostics auxiliary.","GNN-RL outperformed all baselines; arbitrary-N solved; online RL solved Abaqus control.","Results / conclusions"
