n,handoff_strategy_name,expected_case_dir,expected_job_name,scan_order_json,expected_cae,expected_inp,expected_jnl,expected_odb,teacher_validated,generation_status,solver_status,notes
12,S3R19B24_N12_B01_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N12S3R19B24_N12_B01_surrogate_top,J2D_S3R19B24_N12_B01_surrogate_top,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_19_run18_candidate_handoff_review_package\batch24\scan_orders\scan_order_S3R19B24_N12_B01_surrogate_top.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N12S3R19B24_N12_B01_surrogate_top\J2D_S3R19B24_N12_B01_surrogate_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N12S3R19B24_N12_B01_surrogate_top\J2D_S3R19B24_N12_B01_surrogate_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N12S3R19B24_N12_B01_surrogate_top\J2D_S3R19B24_N12_B01_surrogate_top.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N12S3R19B24_N12_B01_surrogate_top\J2D_S3R19B24_N12_B01_surrogate_top.odb,False,NOT_GENERATED,NOT_SUBMITTED,Template only. Do not run until CAE/INP generation exists and passes checks.
12,S3R19B24_N12_B02_u2_primary_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N12S3R19B24_N12_B02_u2_primary_top,J2D_S3R19B24_N12_B02_u2_primary_top,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_19_run18_candidate_handoff_review_package\batch24\scan_orders\scan_order_S3R19B24_N12_B02_u2_primary_top.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N12S3R19B24_N12_B02_u2_primary_top\J2D_S3R19B24_N12_B02_u2_primary_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N12S3R19B24_N12_B02_u2_primary_top\J2D_S3R19B24_N12_B02_u2_primary_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N12S3R19B24_N12_B02_u2_primary_top\J2D_S3R19B24_N12_B02_u2_primary_top.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N12S3R19B24_N12_B02_u2_primary_top\J2D_S3R19B24_N12_B02_u2_primary_top.odb,False,NOT_GENERATED,NOT_SUBMITTED,Template only. Do not run until CAE/INP generation exists and passes checks.
12,S3R19B24_N12_B03_geometry_signal_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N12S3R19B24_N12_B03_geometry_signal_top,J2D_S3R19B24_N12_B03_geometry_signal_top,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_19_run18_candidate_handoff_review_package\batch24\scan_orders\scan_order_S3R19B24_N12_B03_geometry_signal_top.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N12S3R19B24_N12_B03_geometry_signal_top\J2D_S3R19B24_N12_B03_geometry_signal_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N12S3R19B24_N12_B03_geometry_signal_top\J2D_S3R19B24_N12_B03_geometry_signal_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N12S3R19B24_N12_B03_geometry_signal_top\J2D_S3R19B24_N12_B03_geometry_signal_top.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N12S3R19B24_N12_B03_geometry_signal_top\J2D_S3R19B24_N12_B03_geometry_signal_top.odb,False,NOT_GENERATED,NOT_SUBMITTED,Template only. Do not run until CAE/INP generation exists and passes checks.
16,S3R19B24_N16_B01_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N16S3R19B24_N16_B01_surrogate_top,J2D_S3R19B24_N16_B01_surrogate_top,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_19_run18_candidate_handoff_review_package\batch24\scan_orders\scan_order_S3R19B24_N16_B01_surrogate_top.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N16S3R19B24_N16_B01_surrogate_top\J2D_S3R19B24_N16_B01_surrogate_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N16S3R19B24_N16_B01_surrogate_top\J2D_S3R19B24_N16_B01_surrogate_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N16S3R19B24_N16_B01_surrogate_top\J2D_S3R19B24_N16_B01_surrogate_top.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N16S3R19B24_N16_B01_surrogate_top\J2D_S3R19B24_N16_B01_surrogate_top.odb,False,NOT_GENERATED,NOT_SUBMITTED,Template only. Do not run until CAE/INP generation exists and passes checks.
16,S3R19B24_N16_B02_u2_primary_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N16S3R19B24_N16_B02_u2_primary_top,J2D_S3R19B24_N16_B02_u2_primary_top,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_19_run18_candidate_handoff_review_package\batch24\scan_orders\scan_order_S3R19B24_N16_B02_u2_primary_top.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N16S3R19B24_N16_B02_u2_primary_top\J2D_S3R19B24_N16_B02_u2_primary_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N16S3R19B24_N16_B02_u2_primary_top\J2D_S3R19B24_N16_B02_u2_primary_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N16S3R19B24_N16_B02_u2_primary_top\J2D_S3R19B24_N16_B02_u2_primary_top.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N16S3R19B24_N16_B02_u2_primary_top\J2D_S3R19B24_N16_B02_u2_primary_top.odb,False,NOT_GENERATED,NOT_SUBMITTED,Template only. Do not run until CAE/INP generation exists and passes checks.
16,S3R19B24_N16_B03_geometry_signal_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N16S3R19B24_N16_B03_geometry_signal_top,J2D_S3R19B24_N16_B03_geometry_signal_top,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_19_run18_candidate_handoff_review_package\batch24\scan_orders\scan_order_S3R19B24_N16_B03_geometry_signal_top.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N16S3R19B24_N16_B03_geometry_signal_top\J2D_S3R19B24_N16_B03_geometry_signal_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N16S3R19B24_N16_B03_geometry_signal_top\J2D_S3R19B24_N16_B03_geometry_signal_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N16S3R19B24_N16_B03_geometry_signal_top\J2D_S3R19B24_N16_B03_geometry_signal_top.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N16S3R19B24_N16_B03_geometry_signal_top\J2D_S3R19B24_N16_B03_geometry_signal_top.odb,False,NOT_GENERATED,NOT_SUBMITTED,Template only. Do not run until CAE/INP generation exists and passes checks.
24,S3R19B24_N24_B01_surrogate_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N24S3R19B24_N24_B01_surrogate_top,J2D_S3R19B24_N24_B01_surrogate_top,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_19_run18_candidate_handoff_review_package\batch24\scan_orders\scan_order_S3R19B24_N24_B01_surrogate_top.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N24S3R19B24_N24_B01_surrogate_top\J2D_S3R19B24_N24_B01_surrogate_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N24S3R19B24_N24_B01_surrogate_top\J2D_S3R19B24_N24_B01_surrogate_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N24S3R19B24_N24_B01_surrogate_top\J2D_S3R19B24_N24_B01_surrogate_top.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N24S3R19B24_N24_B01_surrogate_top\J2D_S3R19B24_N24_B01_surrogate_top.odb,False,NOT_GENERATED,NOT_SUBMITTED,Template only. Do not run until CAE/INP generation exists and passes checks.
24,S3R19B24_N24_B02_u2_primary_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N24S3R19B24_N24_B02_u2_primary_top,J2D_S3R19B24_N24_B02_u2_primary_top,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_19_run18_candidate_handoff_review_package\batch24\scan_orders\scan_order_S3R19B24_N24_B02_u2_primary_top.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N24S3R19B24_N24_B02_u2_primary_top\J2D_S3R19B24_N24_B02_u2_primary_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N24S3R19B24_N24_B02_u2_primary_top\J2D_S3R19B24_N24_B02_u2_primary_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N24S3R19B24_N24_B02_u2_primary_top\J2D_S3R19B24_N24_B02_u2_primary_top.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N24S3R19B24_N24_B02_u2_primary_top\J2D_S3R19B24_N24_B02_u2_primary_top.odb,False,NOT_GENERATED,NOT_SUBMITTED,Template only. Do not run until CAE/INP generation exists and passes checks.
24,S3R19B24_N24_B03_geometry_signal_top,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N24S3R19B24_N24_B03_geometry_signal_top,J2D_S3R19B24_N24_B03_geometry_signal_top,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_19_run18_candidate_handoff_review_package\batch24\scan_orders\scan_order_S3R19B24_N24_B03_geometry_signal_top.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N24S3R19B24_N24_B03_geometry_signal_top\J2D_S3R19B24_N24_B03_geometry_signal_top.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N24S3R19B24_N24_B03_geometry_signal_top\J2D_S3R19B24_N24_B03_geometry_signal_top.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N24S3R19B24_N24_B03_geometry_signal_top\J2D_S3R19B24_N24_B03_geometry_signal_top.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N24S3R19B24_N24_B03_geometry_signal_top\J2D_S3R19B24_N24_B03_geometry_signal_top.odb,False,NOT_GENERATED,NOT_SUBMITTED,Template only. Do not run until CAE/INP generation exists and passes checks.
24,S3R19B24_N24_B04_method_c_inspired,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N24S3R19B24_N24_B04_method_c_inspired,J2D_S3R19B24_N24_B04_method_c_inspired,E:\Projects\RL-LAM-ScanOpt\outputs\stage3_run_19_run18_candidate_handoff_review_package\batch24\scan_orders\scan_order_S3R19B24_N24_B04_method_c_inspired.json,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N24S3R19B24_N24_B04_method_c_inspired\J2D_S3R19B24_N24_B04_method_c_inspired.cae,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N24S3R19B24_N24_B04_method_c_inspired\J2D_S3R19B24_N24_B04_method_c_inspired.inp,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N24S3R19B24_N24_B04_method_c_inspired\J2D_S3R19B24_N24_B04_method_c_inspired.jnl,E:\Projects\RL-LAM-ScanOpt\cae_model\stage3_run19_batch24_combined80_surrogate_screened_v01\N24S3R19B24_N24_B04_method_c_inspired\J2D_S3R19B24_N24_B04_method_c_inspired.odb,False,NOT_GENERATED,NOT_SUBMITTED,Template only. Do not run until CAE/INP generation exists and passes checks.
