"path","git_status","category","recommended_action","extension","size_bytes","tracked","untracked","ignored","relative_path_length","absolute_path_length"
"cae_model/12track_full/sanity_base/12track_sanity_base.jnl","??","Abaqus_and_solver_files","DO_NOT_COMMIT",".jnl","16105","False","True","False","58","85"
"cae_model/16track_full/sanity_base/16track_sanity_base.jnl","??","Abaqus_and_solver_files","DO_NOT_COMMIT",".jnl","18252","False","True","False","58","85"
"cae_model/24track_full/sanity_base/24track_sanity_base.jnl","??","Abaqus_and_solver_files","DO_NOT_COMMIT",".jnl","18653","False","True","False","58","85"
"cae_model/40track_full/sanity_base/40track_sanity_base.jnl","??","Abaqus_and_solver_files","DO_NOT_COMMIT",".jnl","21932","False","True","False","58","85"
"cae_model/stage3_ppo_final_expansion_224_to_320_batch224_v01/final_expansion_batch01/N12/PPOFINAL_N12_B001_quality/J2D_PPOFINAL_N12_B001_quality.inp","??","Abaqus_and_solver_files","DO_NOT_COMMIT",".inp","45982","False","True","False","148","175"
"cae_model/stage3_ppo_final_expansion_224_to_320_batch224_v01/final_expansion_batch01/N12/PPOFINAL_N12_B001_quality/J2D_PPOFINAL_N12_B001_quality.jnl","??","Abaqus_and_solver_files","DO_NOT_COMMIT",".jnl","137","False","True","False","148","175"
"cae_model/stage3_ppo_final_expansion_224_to_320_batch224_v01/final_expansion_batch01/N12/PPOFINAL_N12_B001_quality/J2D_PPOFINAL_N12_B001_quality_stageU_generation_log.json","??","Abaqus_and_solver_files","DO_NOT_COMMIT",".json","4526","False","True","False","171","198"
"cae_model/stage3_ppo_final_expansion_224_to_320_batch224_v01/final_expansion_batch01/N12/PPOFINAL_N12_B001_quality/scan_order_PPOFINAL_N12_B001_quality.json","??","Abaqus_and_solver_files","DO_NOT_COMMIT",".json","1428","False","True","False","156","183"
"cae_model/stage3_ppo_final_expansion_224_to_320_batch224_v01/final_expansion_batch01/N12/PPOFINAL_N12_B002_quality/J2D_PPOFINAL_N12_B002_quality.inp","??","Abaqus_and_solver_files","DO_NOT_COMMIT",".inp","45982","False","True","False","148","175"
"cae_model/stage3_ppo_final_expansion_224_to_320_batch224_v01/final_expansion_batch01/N12/PPOFINAL_N12_B002_quality/J2D_PPOFINAL_N12_B002_quality.jnl","??","Abaqus_and_solver_files","DO_NOT_COMMIT",".jnl","137","False","True","False","148","175"
"cae_model/stage3_ppo_final_expansion_224_to_320_batch224_v01/final_expansion_batch01/N12/PPOFINAL_N12_B002_quality/J2D_PPOFINAL_N12_B002_quality_stageU_generation_log.json","??","Abaqus_and_solver_files","DO_NOT_COMMIT",".json","4526","False","True","False","171","198"
"cae_model/stage3_ppo_final_expansion_224_to_320_batch224_v01/final_expansion_batch01/N12/PPOFINAL_N12_B002_quality/scan_order_PPOFINAL_N12_B002_quality.json","??","Abaqus_and_solver_files","DO_NOT_COMMIT",".json","1487","False","True","False","156","183"
"cae_model/stage3_ppo_final_expansion_224_to_320_batch224_v01/final_expansion_batch01/N12/PPOFINAL_N12_B003_quality/J2D_PPOFINAL_N12_B003_quality.inp","??","Abaqus_and_solver_files","DO_NOT_COMMIT",".inp","45982","False","True","False","148","175"
"cae_model/stage3_ppo_final_expansion_224_to_320_batch224_v01/final_expansion_batch01/N12/PPOFINAL_N12_B003_quality/J2D_PPOFINAL_N12_B003_quality.jnl","??","Abaqus_and_solver_files","DO_NOT_COMMIT",".jnl","137","False","True","False","148","175"
"cae_model/stage3_ppo_final_expansion_224_to_320_batch224_v01/final_expansion_batch01/N12/PPOFINAL_N12_B003_quality/J2D_PPOFINAL_N12_B003_quality_stageU_generation_log.json","??","Abaqus_and_solver_files","DO_NOT_COMMIT",".json","4526","False","True","False","171","198"
"cae_model/stage3_ppo_final_expansion_224_to_320_batch224_v01/final_expansion_batch01/N12/PPOFINAL_N12_B003_quality/scan_order_PPOFINAL_N12_B003_quality.json","??","Abaqus_and_solver_files","DO_NOT_COMMIT",".json","1429","False","True","False","156","183"
"cae_model/stage3_ppo_final_expansion_224_to_320_batch224_v01/final_expansion_batch01/N12/PPOFINAL_N12_B004_quality/J2D_PPOFINAL_N12_B004_quality.inp","??","Abaqus_and_solver_files","DO_NOT_COMMIT",".inp","45982","False","True","False","148","175"
"cae_model/stage3_ppo_final_expansion_224_to_320_batch224_v01/final_expansion_batch01/N12/PPOFINAL_N12_B004_quality/J2D_PPOFINAL_N12_B004_quality.jnl","??","Abaqus_and_solver_files","DO_NOT_COMMIT",".jnl","137","False","True","False","148","175"
"cae_model/stage3_ppo_final_expansion_224_to_320_batch224_v01/final_expansion_batch01/N12/PPOFINAL_N12_B004_quality/J2D_PPOFINAL_N12_B004_quality_stageU_generation_log.json","??","Abaqus_and_solver_files","DO_NOT_COMMIT",".json","4526","False","True","False","171","198"
"cae_model/stage3_ppo_final_expansion_224_to_320_batch224_v01/final_expansion_batch01/N12/PPOFINAL_N12_B004_quality/scan_order_PPOFINAL_N12_B004_quality.json","??","Abaqus_and_solver_files","DO_NOT_COMMIT",".json","1487","False","True","False","156","183"
"cae_model/stage3_ppo_final_expansion_224_to_320_batch224_v01/final_expansion_batch01/N12/PPOFINAL_N12_B005_quality/J2D_PPOFINAL_N12_B005_quality.inp","??","Abaqus_and_solver_files","DO_NOT_COMMIT",".inp","45982","False","True","False","148","175"
"cae_model/stage3_ppo_final_expansion_224_to_320_batch224_v01/final_expansion_batch01/N12/PPOFINAL_N12_B005_quality/J2D_PPOFINAL_N12_B005_quality.jnl","??","Abaqus_and_solver_files","DO_NOT_COMMIT",".jnl","137","False","True","False","148","175"
"cae_model/stage3_ppo_final_expansion_224_to_320_batch224_v01/final_expansion_batch01/N12/PPOFINAL_N12_B005_quality/J2D_PPOFINAL_N12_B005_quality_stageU_generation_log.json","??","Abaqus_and_solver_files","DO_NOT_COMMIT",".json","4526","False","True","False","171","198"
"cae_model/stage3_ppo_final_expansion_224_to_320_batch224_v01/final_expansion_batch01/N12/PPOFINAL_N12_B005_quality/scan_order_PPOFINAL_N12_B005_quality.json","??","Abaqus_and_solver_files","DO_NOT_COMMIT",".json","1429","False","True","False","156","183"
"cae_model/stage3_ppo_final_expansion_224_to_320_batch224_v01/final_expansion_batch01/N12/PPOFINAL_N12_B006_quality/J2D_PPOFINAL_N12_B006_quality.inp","??","Abaqus_and_solver_files","DO_NOT_COMMIT",".inp","45982","False","True","False","148","175"
"cae_model/stage3_ppo_final_expansion_224_to_320_batch224_v01/final_expansion_batch01/N12/PPOFINAL_N12_B006_quality/J2D_PPOFINAL_N12_B006_quality.jnl","??","Abaqus_and_solver_files","DO_NOT_COMMIT",".jnl","137","False","True","False","148","175"
"cae_model/stage3_ppo_final_expansion_224_to_320_batch224_v01/final_expansion_batch01/N12/PPOFINAL_N12_B006_quality/J2D_PPOFINAL_N12_B006_quality_stageU_generation_log.json","??","Abaqus_and_solver_files","DO_NOT_COMMIT",".json","4526","False","True","False","171","198"
"cae_model/stage3_ppo_final_expansion_224_to_320_batch224_v01/final_expansion_batch01/N12/PPOFINAL_N12_B006_quality/scan_order_PPOFINAL_N12_B006_quality.json","??","Abaqus_and_solver_files","DO_NOT_COMMIT",".json","1488","False","True","False","156","183"
"cae_model/stage3_ppo_final_expansion_224_to_320_batch224_v01/final_expansion_batch01/N12/PPOFINAL_N12_B007_quality/J2D_PPOFINAL_N12_B007_quality.inp","??","Abaqus_and_solver_files","DO_NOT_COMMIT",".inp","45982","False","True","False","148","175"
"cae_model/stage3_ppo_final_expansion_224_to_320_batch224_v01/final_expansion_batch01/N12/PPOFINAL_N12_B007_quality/J2D_PPOFINAL_N12_B007_quality.jnl","??","Abaqus_and_solver_files","DO_NOT_COMMIT",".jnl","137","False","True","False","148","175"
"cae_model/stage3_ppo_final_expansion_224_to_320_batch224_v01/final_expansion_batch01/N12/PPOFINAL_N12_B007_quality/J2D_PPOFINAL_N12_B007_quality_stageU_generation_log.json","??","Abaqus_and_solver_files","DO_NOT_COMMIT",".json","4526","False","True","False","171","198"
"cae_model/stage3_ppo_final_expansion_224_to_320_batch224_v01/final_expansion_batch01/N12/PPOFINAL_N12_B007_quality/scan_order_PPOFINAL_N12_B007_quality.json","??","Abaqus_and_solver_files","DO_NOT_COMMIT",".json","1489","False","True","False","156","183"
"cae_model/stage3_ppo_final_expansion_224_to_320_batch224_v01/final_expansion_batch01/N12/PPOFINAL_N12_B008_quality/J2D_PPOFINAL_N12_B008_quality.inp","??","Abaqus_and_solver_files","DO_NOT_COMMIT",".inp","45982","False","True","False","148","175"
"cae_model/stage3_ppo_final_expansion_224_to_320_batch224_v01/final_expansion_batch01/N12/PPOFINAL_N12_B008_quality/J2D_PPOFINAL_N12_B008_quality.jnl","??","Abaqus_and_solver_files","DO_NOT_COMMIT",".jnl","137","False","True","False","148","175"
"cae_model/stage3_ppo_final_expansion_224_to_320_batch224_v01/final_expansion_batch01/N12/PPOFINAL_N12_B008_quality/J2D_PPOFINAL_N12_B008_quality_stageU_generation_log.json","??","Abaqus_and_solver_files","DO_NOT_COMMIT",".json","4526","False","True","False","171","198"
"cae_model/stage3_ppo_final_expansion_224_to_320_batch224_v01/final_expansion_batch01/N12/PPOFINAL_N12_B008_quality/scan_order_PPOFINAL_N12_B008_quality.json","??","Abaqus_and_solver_files","DO_NOT_COMMIT",".json","1488","False","True","False","156","183"
"cae_model/stage3_ppo_final_expansion_224_to_320_batch224_v01/final_expansion_batch01/N12/PPOFINAL_N12_B009_quality/J2D_PPOFINAL_N12_B009_quality.inp","??","Abaqus_and_solver_files","DO_NOT_COMMIT",".inp","45982","False","True","False","148","175"
"cae_model/stage3_ppo_final_expansion_224_to_320_batch224_v01/final_expansion_batch01/N12/PPOFINAL_N12_B009_quality/J2D_PPOFINAL_N12_B009_quality.jnl","??","Abaqus_and_solver_files","DO_NOT_COMMIT",".jnl","137","False","True","False","148","175"
"cae_model/stage3_ppo_final_expansion_224_to_320_batch224_v01/final_expansion_batch01/N12/PPOFINAL_N12_B009_quality/J2D_PPOFINAL_N12_B009_quality_stageU_generation_log.json","??","Abaqus_and_solver_files","DO_NOT_COMMIT",".json","4526","False","True","False","171","198"
"cae_model/stage3_ppo_final_expansion_224_to_320_batch224_v01/final_expansion_batch01/N12/PPOFINAL_N12_B009_quality/scan_order_PPOFINAL_N12_B009_quality.json","??","Abaqus_and_solver_files","DO_NOT_COMMIT",".json","1429","False","True","False","156","183"
"cae_model/stage3_ppo_final_expansion_224_to_320_batch224_v01/final_expansion_batch01/N12/PPOFINAL_N12_B010_quality/J2D_PPOFINAL_N12_B010_quality.inp","??","Abaqus_and_solver_files","DO_NOT_COMMIT",".inp","45982","False","True","False","148","175"
"cae_model/stage3_ppo_final_expansion_224_to_320_batch224_v01/final_expansion_batch01/N12/PPOFINAL_N12_B010_quality/J2D_PPOFINAL_N12_B010_quality.jnl","??","Abaqus_and_solver_files","DO_NOT_COMMIT",".jnl","137","False","True","False","148","175"
"cae_model/stage3_ppo_final_expansion_224_to_320_batch224_v01/final_expansion_batch01/N12/PPOFINAL_N12_B010_quality/J2D_PPOFINAL_N12_B010_quality_stageU_generation_log.json","??","Abaqus_and_solver_files","DO_NOT_COMMIT",".json","4526","False","True","False","171","198"
"cae_model/stage3_ppo_final_expansion_224_to_320_batch224_v01/final_expansion_batch01/N12/PPOFINAL_N12_B010_quality/scan_order_PPOFINAL_N12_B010_quality.json","??","Abaqus_and_solver_files","DO_NOT_COMMIT",".json","1489","False","True","False","156","183"
"cae_model/stage3_ppo_final_expansion_224_to_320_batch224_v01/final_expansion_batch01/N12/PPOFINAL_N12_B011_quality/J2D_PPOFINAL_N12_B011_quality.inp","??","Abaqus_and_solver_files","DO_NOT_COMMIT",".inp","45982","False","True","False","148","175"
